name,code,begin_date,end_date,member_id
"Committee on Health, Education, Labor, and Pensions",SSHR,,2023-01-03,B001230
Committee on Appropriations,SSAP,,2023-01-03,B001230
"Committee on Commerce, Science, and Transportation",SSCM,,2023-01-03,B001230
Committee on Foreign Relations,SSFR,,2023-01-03,B001261
Committee on Energy and Natural Resources,SSEG,,2023-01-03,B001261
Committee on Finance,SSFI,,2023-01-03,B001261
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2023-01-03,B001267
Select Committee on Intelligence,SLIN,,2023-01-03,B001267
Committee on Finance,SSFI,,2023-01-03,B001267
Committee on Armed Services,SSAS,,2023-01-03,B001243
"Committee on Commerce, Science, and Transportation",SSCM,,2023-01-03,B001243
Committee on the Judiciary,SSJU,,2023-01-03,B001243
Committee on Veterans' Affairs,SSVA,,2023-01-03,B001243
Committee on Armed Services,SSAS,,2023-01-03,B001277
"Committee on Commerce, Science, and Transportation",SSCM,,2023-01-03,B001277
Committee on the Judiciary,SSJU,,2023-01-03,B001277
Committee on Veterans' Affairs,SSVA,,2023-01-03,B001277
Special Committee on Aging,SPAG,,2023-01-03,B001277
Committee on Rules and Administration,SSRA,,2023-01-03,B000575
Committee on Appropriations,SSAP,,2023-01-03,B000575
"Committee on Commerce, Science, and Transportation",SSCM,,2023-01-03,B000575
Joint Committee on Printing,JSPR,,2023-01-03,B000575
Joint Committee on the Library,JSLC,,2023-01-03,B000575
Select Committee on Intelligence,SLIN,,2023-01-03,B000575
Committee on Small Business and Entrepreneurship,SSSB,,2023-01-03,B001288
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2023-01-03,B001288
Committee on the Judiciary,SSJU,,2023-01-03,B001288
Committee on Foreign Relations,SSFR,,2023-01-03,B001288
Commission on Security and Cooperation in Europe,JCSE,,2023-01-03,B001236
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2023-01-03,B001236
Committee on Appropriations,SSAP,,2023-01-03,B001236
Committee on Veterans' Affairs,SSVA,,2023-01-03,B001236
Committee on Environment and Public Works,SSEV,,2023-01-03,B001236
"Committee on Health, Education, Labor, and Pensions",SSHR,,2023-01-03,B001310
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2023-01-03,B001310
Committee on the Budget,SSBU,,2023-01-03,B001310
Committee on Appropriations,SSAP,,2023-01-03,B001310
Special Committee on Aging,SPAG,,2023-01-03,B001310
"Committee on Agriculture, Nutrition, and Forestry",SSAF,,2023-01-03,B000944
"Committee on Banking, Housing, and Urban Affairs",SSBK,,2023-01-03,B000944
Committee on Veterans' Affairs,SSVA,,2023-01-03,B000944
Committee on Finance,SSFI,,2023-01-03,B000944
"Committee on Health, Education, Labor, and Pensions",SSHR,,2023-01-03,B001135
Select Committee on Intelligence,SLIN,,2023-01-03,B001135
Committee on Finance,SSFI,,2023-01-03,B001135
Special Committee on Aging,SPAG,,2023-01-03,B001135
Committee on Indian Affairs,SLIA,,2023-01-03,C000127
Committee on Small Business and Entrepreneurship,SSSB,,2023-01-03,C000127
"Committee on Commerce, Science, and Transportation",SSCM,,2023-01-03,C000127
Committee on Energy and Natural Resources,SSEG,,2023-01-03,C000127
Committee on Finance,SSFI,,2023-01-03,C000127
Committee on Rules and Administration,SSRA,,2023-01-03,C001047
Committee on Appropriations,SSAP,,2023-01-03,C001047
"Committee on Commerce, Science, and Transportation",SSCM,,2023-01-03,C001047
Committee on Environment and Public Works,SSEV,,2023-01-03,C001047
Committee on Small Business and Entrepreneurship,SSSB,,2023-01-03,C000141
Committee on Environment and Public Works,SSEV,,2023-01-03,C000141
Committee on Finance,SSFI,,2023-01-03,C000141
Committee on Foreign Relations,SSFR,,2023-01-03,C000141
Commission on Security and Cooperation in Europe,JCSE,,2023-01-03,C000141
Committee on Homeland Security and Governmental Affairs,SSGA,,2023-01-03,C000174
Committee on Environment and Public Works,SSEV,,2023-01-03,C000174
Committee on Finance,SSFI,,2023-01-03,C000174
"Committee on Health, Education, Labor, and Pensions",SSHR,,2023-01-03,C001070
Select Committee on Intelligence,SLIN,,2023-01-03,C001070
Committee on Finance,SSFI,,2023-01-03,C001070
Special Committee on Aging,SPAG,,2023-01-03,C001070
"Committee on Health, Education, Labor, and Pensions",SSHR,,2023-01-03,C001075
Committee on Veterans' Affairs,SSVA,,2023-01-03,C001075
Committee on Energy and Natural Resources,SSEG,,2023-01-03,C001075
Joint Economic Committee,JSEC,,2023-01-03,C001075
Committee on Finance,SSFI,,2023-01-03,C001075
"Committee on Health, Education, Labor, and Pensions",SSHR,,2023-01-03,C001035
Committee on Appropriations,SSAP,,2023-01-03,C001035
Select Committee on Intelligence,SLIN,,2023-01-03,C001035
Special Committee on Aging,SPAG,,2023-01-03,C001035
Committee on Small Business and Entrepreneurship,SSSB,,2023-01-03,C001088
Committee on Appropriations,SSAP,,2023-01-03,C001088
