member_id,member_name,member_begin_date,congress,chamber,committee_id
D000619,Rodney Davis,2019-01-09,116,house,HSHA
L000397,Zoe Lofgren,2019-01-09,116,house,HSHA
W000819,Mark Walker,2019-02-06,116,house,HSHA
R000606,Jamie Raskin,2019-01-29,116,house,HSHA
L000583,Barry Loudermilk,2019-02-06,116,house,HSHA
D000598,Susan A. Davis,2019-01-29,116,house,HSHA
B001251,G. K. Butterfield,2019-01-29,116,house,HSHA
F000455,Marcia L. Fudge,2019-01-29,116,house,HSHA
A000371,Pete Aguilar,2019-01-29,116,house,HSHA
C001062,K. Michael Conaway,2019-01-04,116,house,HSAG
P000258,Collin C. Peterson,2019-01-04,116,house,HSAG
T000467,Glenn Thompson,2019-01-23,116,house,HSAG
S001157,David Scott,2019-01-17,116,house,HSAG
S001189,Austin Scott,2019-01-23,116,house,HSAG
C001059,Jim Costa,2019-01-17,116,house,HSAG
C001087,Rick Crawford,2019-01-23,116,house,HSAG
F000455,Marcia L. Fudge,2019-01-17,116,house,HSAG
D000616,Scott DesJarlais,2019-01-23,116,house,HSAG
M000312,Jim McGovern,2019-01-17,116,house,HSAG
H001053,Vicky Hartzler,2019-01-23,116,house,HSAG
V000132,Filemon Vela,2019-01-17,116,house,HSAG
L000578,Doug LaMalfa,2019-01-23,116,house,HSAG
P000610,Stacey Plaskett,2019-01-17,116,house,HSAG
D000619,Rodney Davis,2019-01-23,116,house,HSAG
A000370,Alma Adams,2019-01-17,116,house,HSAG
Y000065,Ted Yoho,2019-01-23,116,house,HSAG
S001209,Abigail Spanberger,2019-01-17,116,house,HSAG
A000372,Rick Allen,2019-01-23,116,house,HSAG
H001081,Jahana Hayes,2019-01-17,116,house,HSAG
B001295,Mike Bost,2019-01-23,116,house,HSAG
D000630,Antonio Delgado,2019-01-17,116,house,HSAG
R000603,David Rouzer,2019-01-23,116,house,HSAG
C001124,TJ Cox,2019-01-17,116,house,HSAG
A000374,Ralph Abraham,2019-01-23,116,house,HSAG
C001119,Angie Craig,2019-01-17,116,house,HSAG
K000388,Trent Kelly,2019-01-23,116,house,HSAG
B001308,Anthony Brindisi,2019-01-17,116,house,HSAG
C001108,James Comer,2019-01-23,116,house,HSAG
M001198,Roger Marshall,2019-01-23,116,house,HSAG
H001090,Josh Harder,2019-01-17,116,house,HSAG
B001298,Don Bacon,2019-01-23,116,house,HSAG
S001216,Kim Schrier,2019-01-17,116,house,HSAG
D000628,Neal Dunn,2019-01-23,116,house,HSAG
P000597,Chellie Pingree,2019-01-17,116,house,HSAG
J000301,Dusty Johnson,2019-01-23,116,house,HSAG
B001286,Cheri Bustos,2019-01-17,116,house,HSAG
B001307,James Baird,2019-01-23,116,house,HSAG
M001185,Sean Patrick Maloney,2019-01-17,116,house,HSAG
H001088,Jim Hagedorn,2019-01-23,116,house,HSAG
C001112,Salud Carbajal,2019-01-17,116,house,HSAG
L000586,Al Lawson,2019-01-17,116,house,HSAG
O000171,Tom O'Halleran,2019-01-17,116,house,HSAG
P000613,Jimmy Panetta,2019-01-17,116,house,HSAG
K000368,Ann Kirkpatrick,2019-01-17,116,house,HSAG
A000378,Cynthia Axne,2019-01-17,116,house,HSAG
L000480,Nita M. Lowey,2019-01-03,116,house,HSAP
G000377,Kay Granger,2019-01-03,116,house,HSAP
K000009,Marcy Kaptur,2019-01-15,116,house,HSAP
R000395,Harold Rogers,2019-01-23,116,house,HSAP
V000108,Peter J. Visclosky,2019-01-15,116,house,HSAP
A000055,Robert B. Aderholt,2019-01-23,116,house,HSAP
S000248,José E. Serrano,2019-01-15,116,house,HSAP
S001148,Mike Simpson,2019-01-23,116,house,HSAP
D000216,Rosa DeLauro,2019-01-15,116,house,HSAP
C001051,John Carter,2019-01-23,116,house,HSAP
P000523,David E. Price,2019-01-15,116,house,HSAP
C000059,Ken Calvert,2019-01-23,116,house,HSAP
R000486,Lucille Roybal-Allard,2019-01-15,116,house,HSAP
C001053,Tom Cole,2019-01-23,116,house,HSAP
B000490,Sanford D. Bishop Jr.,2019-01-15,116,house,HSAP
D000600,Mario Diaz-Balart,2019-01-23,116,house,HSAP
L000551,Barbara Lee,2019-01-15,116,house,HSAP
M001143,Betty McCollum,2019-01-15,116,house,HSAP
W000809,Steve Womack,2019-01-23,116,house,HSAP
R000577,Tim Ryan,2019-01-15,116,house,HSAP
F000449,Jeff Fortenberry,2019-01-23,116,house,HSAP
R000576,C.A. Dutch Ruppersberger,2019-01-15,116,house,HSAP
F000459,Chuck Fleischmann,2019-01-23,116,house,HSAP
W000797,Debbie Wasserman Schultz,2019-01-15,116,house,HSAP
H001056,Jaime Herrera Beutler,2019-01-23,116,house,HSAP
C001063,Henry Cuellar,2019-01-15,116,house,HSAP
J000295,Dave Joyce,2019-01-23,116,house,HSAP
P000597,Chellie Pingree,2019-01-15,116,house,HSAP
H001052,Andy Harris,2019-01-23,116,house,HSAP
R000591,Martha Roby,2019-01-23,116,house,HSAP
Q000023,Mike Quigley,2019-01-15,116,house,HSAP
A000369,Mark Amodei,2019-01-23,116,house,HSAP
K000381,Derek Kilmer,2019-01-15,116,house,HSAP
S001192,Chris Stewart,2019-01-23,116,house,HSAP
C001090,Matt Cartwright,2019-01-15,116,house,HSAP
P000601,Steven Palazzo,2019-01-23,116,house,HSAP
M001188,Grace Meng,2019-01-15,116,house,HSAP
N000189,Dan Newhouse,2019-01-23,116,house,HSAP
P000607,Mark Pocan,2019-01-15,116,house,HSAP
M001194,John Moolenaar,2019-01-23,116,house,HSAP
C001101,Katherine Clark,2019-01-15,116,house,HSAP
R000609,John Rutherford,2019-01-23,116,house,HSAP
A000371,Pete Aguilar,2019-01-15,116,house,HSAP
H001073,Will Hurd,2019-01-23,116,house,HSAP
F000462,Lois Frankel,2019-01-15,116,house,HSAP
B001286,Cheri Bustos,2019-01-15,116,house,HSAP
W000822,Bonnie Watson Coleman,2019-01-15,116,house,HSAP
L000581,Brenda Lawrence,2019-01-15,116,house,HSAP
T000474,Norma Torres,2019-01-15,116,house,HSAP
C001111,Charlie Crist,2019-01-15,116,house,HSAP
K000368,Ann Kirkpatrick,2019-01-15,116,house,HSAP
C001055,Ed Case,2019-01-15,116,house,HSAP
T000238,William M. Thornberry,2019-01-04,116,house,HSAS
S000510,Adam Smith,2019-01-04,116,house,HSAS
W000795,Joe Wilson,2019-01-23,116,house,HSAS
D000598,Susan A. Davis,2019-01-15,116,house,HSAS
B001250,Rob Bishop,2019-01-23,116,house,HSAS
L000559,Jim Langevin,2019-01-15,116,house,HSAS
T000463,Michael R. Turner,2019-01-23,116,house,HSAS
L000560,Rick Larsen,2019-01-15,116,house,HSAS
R000575,Mike D. Rogers,2019-01-23,116,house,HSAS
C000754,Jim Cooper,2019-01-15,116,house,HSAS
C001062,K. Michael Conaway,2019-01-23,116,house,HSAS
C001069,Joe Courtney,2019-01-15,116,house,HSAS
L000564,Doug Lamborn,2019-01-23,116,house,HSAS
G000559,John Garamendi,2019-01-15,116,house,HSAS
W000804,Robert J. Wittman,2019-01-23,116,house,HSAS
S001175,Jackie Speier,2019-01-15,116,house,HSAS
H001053,Vicky Hartzler,2019-01-23,116,house,HSAS
G000571,Tulsi Gabbard,2019-01-15,116,house,HSAS
S001189,Austin Scott,2019-01-23,116,house,HSAS
N000188,Donald W. Norcross,2019-01-15,116,house,HSAS
B001274,Mo Brooks,2019-01-23,116,house,HSAS
G000574,Ruben Gallego,2019-01-15,116,house,HSAS
M001196,Seth Moulton,2019-01-15,116,house,HSAS
B001289,Bradley Byrne,2019-01-23,116,house,HSAS
C001112,Salud Carbajal,2019-01-15,116,house,HSAS
G000546,Sam Graves,2019-01-23,116,house,HSAS
B001304,Anthony Brown,2019-01-15,116,house,HSAS
S001196,Elise Stefanik,2019-01-23,116,house,HSAS
K000389,Ro Khanna,2019-01-15,116,house,HSAS
D000616,Scott DesJarlais,2019-01-23,116,house,HSAS
K000375,Bill Keating,2019-01-15,116,house,HSAS
A000374,Ralph Abraham,2019-01-23,116,house,HSAS
V000132,Filemon Vela,2019-01-15,116,house,HSAS
K000388,Trent Kelly,2019-01-23,116,house,HSAS
K000394,Andy Kim,2019-01-15,116,house,HSAS
G000579,Mike Gallagher,2019-01-23,116,house,HSAS
H001083,Kendra Horn,2019-01-15,116,house,HSAS
G000578,Matt Gaetz,2019-01-23,116,house,HSAS
C001123,Gilbert Cisneros,2019-01-15,116,house,HSAS
B001298,Don Bacon,2019-01-23,116,house,HSAS
H001085,Chrissy Houlahan,2019-01-15,116,house,HSAS
B001299,Jim Banks,2019-01-23,116,house,HSAS
C001121,Jason Crow,2019-01-15,116,house,HSAS
C001109,Liz Cheney,2019-01-23,116,house,HSAS
T000484,Xochitl Torres Small,2019-01-15,116,house,HSAS
S001208,Elissa Slotkin,2019-01-15,116,house,HSAS
B001301,Jack Bergman,2019-01-23,116,house,HSAS
S001207,Mikie Sherrill,2019-01-15,116,house,HSAS
W000823,Michael Waltz,2019-01-23,116,house,HSAS
E000299,Veronica Escobar,2019-01-15,116,house,HSAS
H001080,Debra Haaland,2019-01-15,116,house,HSAS
G000592,Jared Golden,2019-01-15,116,house,HSAS
T000482,Lori Trahan,2019-01-15,116,house,HSAS
L000591,Elaine Luria,2019-01-15,116,house,HSAS
B001308,Anthony Brindisi,2019-11-19,116,house,HSAS
F000450,Virginia Foxx,2019-01-04,116,house,HSED
S000185,Robert C. Scott,2019-01-04,116,house,HSED
R000582,Phil Roe,2019-01-23,116,house,HSED
D000598,Susan A. Davis,2019-01-15,116,house,HSED
T000467,Glenn Thompson,2019-01-23,116,house,HSED
G000551,Raúl M. Grijalva,2019-01-15,116,house,HSED
W000798,Tim Walberg,2019-01-23,116,house,HSED
C001069,Joe Courtney,2019-01-15,116,house,HSED
G000558,Brett Guthrie,2019-01-23,116,house,HSED
F000455,Marcia L. Fudge,2019-01-15,116,house,HSED
B001289,Bradley Byrne,2019-01-23,116,house,HSED
S001177,Gregorio Kilili Camacho Sablan,2019-01-15,116,house,HSED
G000576,Glenn Grothman,2019-01-23,116,house,HSED
W000808,Frederica Wilson,2019-01-15,116,house,HSED
S001196,Elise Stefanik,2019-01-23,116,house,HSED
B001278,Suzanne Bonamici,2019-01-15,116,house,HSED
A000372,Rick Allen,2019-01-23,116,house,HSED
T000472,Mark Takano,2019-01-15,116,house,HSED
S001199,Lloyd Smucker,2019-01-23,116,house,HSED
A000370,Alma Adams,2019-01-15,116,house,HSED
B001299,Jim Banks,2019-01-23,116,house,HSED
D000623,Mark DeSaulnier,2019-01-15,116,house,HSED
W000819,Mark Walker,2019-01-23,116,house,HSED
N000188,Donald W. Norcross,2019-01-15,116,house,HSED
C001108,James Comer,2019-01-23,116,house,HSED
J000298,Pramila Jayapal,2019-01-15,116,house,HSED
C001118,Ben Cline,2019-01-23,116,house,HSED
M001206,Joe Morelle,2019-01-15,116,house,HSED
F000469,Russ Fulcher,2019-01-23,116,house,HSED
W000826,Susan Wild,2019-01-15,116,house,HSED
W000824,Steven Watkins,2019-01-23,116,house,HSED
H001090,Josh Harder,2019-01-15,116,house,HSED
W000827,Ron Wright,2019-01-23,116,house,HSED
M001208,Lucy McBath,2019-01-15,116,house,HSED
M001204,Daniel Meuser,2019-01-23,116,house,HSED
S001216,Kim Schrier,2019-01-15,116,house,HSED
J000301,Dusty Johnson,2019-01-23,116,house,HSED
U000040,Lauren Underwood,2019-01-15,116,house,HSED
H001081,Jahana Hayes,2019-01-15,116,house,HSED
K000395,Fred Keller,2019-07-10,116,house,HSED
S001206,Donna Shalala,2019-01-15,116,house,HSED
M001210,Greg Murphy,2019-09-26,116,house,HSED
L000592,Andy Levin,2019-01-15,116,house,HSED
V000133,Jefferson Van Drew,2020-01-16,116,house,HSED
O000173,Ilhan Omar,2019-01-15,116,house,HSED
T000483,David Trone,2019-01-15,116,house,HSED
S001215,Haley Stevens,2019-01-15,116,house,HSED
L000590,Susie Lee,2019-01-15,116,house,HSED
T000482,Lori Trahan,2019-01-24,116,house,HSED
C001091,Joaquín Castro,2019-01-24,116,house,HSED
W000791,Greg Walden,2019-01-03,116,house,HSIF
P000034,Frank Pallone,2019-01-03,116,house,HSIF
U000031,Fred Upton,2019-01-23,116,house,HSIF
R000515,Bobby L. Rush,2019-01-15,116,house,HSIF
S000364,John Shimkus,2019-01-23,116,house,HSIF
E000215,Anna G. Eshoo,2019-01-15,116,house,HSIF
B001248,Michael C. Burgess,2019-01-23,116,house,HSIF
E000179,Eliot L. Engel,2019-01-15,116,house,HSIF
S001176,Steve Scalise,2019-01-23,116,house,HSIF
D000197,Diana DeGette,2019-01-15,116,house,HSIF
L000566,Robert E. Latta,2019-01-23,116,house,HSIF
D000482,Mike Doyle,2019-01-15,116,house,HSIF
M001159,Cathy McMorris Rodgers,2019-01-23,116,house,HSIF
S001145,Jan Schakowsky,2019-01-15,116,house,HSIF
G000558,Brett Guthrie,2019-01-23,116,house,HSIF
B001251,G. K. Butterfield,2019-01-15,116,house,HSIF
O000168,Pete Olson,2019-01-23,116,house,HSIF
M001163,Doris Matsui,2019-01-15,116,house,HSIF
M001180,David McKinley,2019-01-23,116,house,HSIF
C001066,Kathy Castor,2019-01-15,116,house,HSIF
K000378,Adam Kinzinger,2019-01-23,116,house,HSIF
S001168,John Sarbanes,2019-01-15,116,house,HSIF
G000568,Morgan Griffith,2019-01-23,116,house,HSIF
M001166,Jerry McNerney,2019-01-15,116,house,HSIF
B001257,Gus Bilirakis,2019-01-23,116,house,HSIF
W000800,Peter Welch,2019-01-15,116,house,HSIF
J000292,Bill Johnson,2019-01-23,116,house,HSIF
L000570,Ben Ray Luján,2019-01-15,116,house,HSIF
L000576,Billy Long,2019-01-23,116,house,HSIF
T000469,Paul Tonko,2019-01-15,116,house,HSIF
B001275,Larry Bucshon,2019-01-23,116,house,HSIF
C001067,Yvette D. Clarke,2019-01-15,116,house,HSIF
F000461,Bill Flores,2019-01-23,116,house,HSIF
L000565,Dave Loebsack,2019-01-15,116,house,HSIF
B001284,Susan Brooks,2019-01-23,116,house,HSIF
S001180,Kurt Schrader,2019-01-15,116,house,HSIF
K000379,Joseph P. Kennedy III,2019-01-15,116,house,HSIF
M001190,Markwayne Mullin,2019-01-23,116,house,HSIF
C001097,Tony Cárdenas,2019-01-15,116,house,HSIF
H001067,Richard Hudson,2019-01-23,116,house,HSIF
R000599,Raul Ruiz,2019-01-15,116,house,HSIF
W000798,Tim Walberg,2019-01-23,116,house,HSIF
P000608,Scott Peters,2019-01-15,116,house,HSIF
C001103,Buddy Carter,2019-01-23,116,house,HSIF
D000624,Debbie Dingell,2019-01-15,116,house,HSIF
D000615,Jeffrey Duncan,2019-01-23,116,house,HSIF
V000131,Marc Veasey,2019-01-15,116,house,HSIF
G000584,Greg Gianforte,2019-01-23,116,house,HSIF
K000382,Ann McLane Kuster,2019-01-15,116,house,HSIF
K000385,Robin Kelly,2019-01-15,116,house,HSIF
B001300,Nanette Barragán,2019-01-15,116,house,HSIF
M001200,A. Donald McEachin,2019-01-15,116,house,HSIF
B001303,Lisa Blunt Rochester,2019-01-15,116,house,HSIF
S001200,Darren Soto,2019-01-15,116,house,HSIF
O000171,Tom O'Halleran,2019-01-15,116,house,HSIF
M001158,Kenny Marchant,2019-01-09,116,house,HSSO
D000610,Ted Deutch,2019-01-09,116,house,HSSO
M001188,Grace Meng,2019-02-13,116,house,HSSO
H001065,George Holding,2019-02-08,116,house,HSSO
W000826,Susan Wild,2019-02-13,116,house,HSSO
W000813,Jackie Walorski,2019-02-08,116,house,HSSO
P000616,Dean Phillips,2019-02-13,116,house,HSSO
G000591,Michael Guest,2019-02-08,116,house,HSSO
B001304,Anthony Brown,2019-02-26,116,house,HSSO
M001156,Patrick T. McHenry,2019-01-03,116,house,HSBA
W000187,Maxine Waters,2019-01-03,116,house,HSBA
L000491,Frank D. Lucas,2019-01-23,116,house,HSBA
M000087,Carolyn B. Maloney,2019-01-17,116,house,HSBA
P000599,Bill Posey,2019-01-23,116,house,HSBA
V000081,Nydia M. Velázquez,2019-01-17,116,house,HSBA
L000569,Blaine Luetkemeyer,2019-01-23,116,house,HSBA
S000344,Brad Sherman,2019-01-17,116,house,HSBA
H001058,Bill Huizenga,2019-01-23,116,house,HSBA
