chamber,congress,session,description,date,position,bill_id,member_id
House,116,2,William M. (Mac) Thornberry National Defense Authorization Act,2020-12-28,Yes,hr6395-116,C001123
House,116,2,CASH Act,2020-12-28,Yes,hr9051-116,C001123
House,116,2,United States-Mexico Economic Partnership Act,2020-12-21,Yes,hr133-116,C001123
House,116,2,United States-Mexico Economic Partnership Act,2020-12-21,Yes,hr133-116,C001123
House,116,2,Providing for consideration of the Senate amendment to the bill (H.R. 133) to promote economic partnership and cooperation between the US and Mexico; providing for disposition of the Senate amendment ...,2020-12-21,Yes,hres1271-116,C001123
House,116,2,"Extension of Continuing Appropriations Act, 2021",2020-12-20,Yes,hjres110-116,C001123
House,116,2,"Making further continuing appropriations for fiscal year 202, and for other purposes",2020-12-18,Not Voting,hjres107-116,C001123
House,116,2,FACE Act,2020-12-18,Yes,s979-116,C001123
House,116,2,Julius Rosenwald and the Rosenwald Schools Act,2020-12-17,Yes,hr3250-116,C001123
House,116,2,TEAM Veteran Caregivers Act,2020-12-16,Yes,s2216-116,C001123
House,116,2,AIR Safety Act,2020-12-10,Yes,hr5040-116,C001123
House,116,2,A bill to improve the management of driftnet fishing.,2020-12-10,Yes,s906-116,C001123
House,116,2,Ceiling Fan Improvement Act,2020-12-09,Yes,hr5758-116,C001123
House,116,2,"Further Continuing Appropriations Act, 2021, and Other Extensions Act",2020-12-09,Yes,hr8900-116,C001123
House,116,2,Servicemembers and Veterans Initiative Act,2020-12-08,Yes,hr8354-116,C001123
House,116,2,William M. (Mac) Thornberry National Defense Authorization Act,2020-12-08,Yes,hr6395-116,C001123
House,116,2,HBCU PARTNERS Act,2020-12-07,Yes,s461-116,C001123
House,116,2,"Calling for the global repeal of blasphemy, heresy, and apostasy laws.",2020-12-07,Yes,hres512-116,C001123
House,116,2,MORE Act,2020-12-04,Yes,hr3884-116,C001123
House,116,2,MORE Act,2020-12-04,No,hr3884-116,C001123
House,116,2,Providing for consideration of the Senate amendments to the bill (H.R. 925) to extend the authorization of appropriations for allocation to carry out approved wetlands conservation projects under the North ...,2020-09-30,No,hres1161-116,C001062
House,116,2,Providing for consideration of the Senate amendments to the bill (H.R. 925) to extend the authorization of appropriations for allocation to carry out approved wetlands conservation projects under the North ...,2020-09-30,No,hres1161-116,C001062
House,116,2,Timely ReAuthorization of Necessary Stem-cell Programs Lends Access to Needed Therapies Act,2020-09-30,Yes,hr4764-116,C001062
House,116,2,Uyghur Forced Labor Disclosure Act,2020-09-30,No,hr6270-116,C001062
House,116,2,Uyghur Forced Labor Disclosure Act of 2020,2020-09-30,Yes,hr6270-116,C001062
House,116,2,"Reaffirming the House of Representatives’ commitment to the orderly and peaceful transfer of power called for in the Constitution of the United States, and for other purposes",2020-09-29,Yes,hres1155-116,C001062
House,116,2,Raising a question of the privileges of the House.,2020-09-29,No,hres1148-116,C001062
House,116,2,Expanding Access to Sustainable Energy Act,2020-09-24,No,hr4447-116,C001062
House,116,2,Expanding Access to Sustainable Energy Act,2020-09-24,Yes,hr4447-116,C001062
House,116,2,Levin of California Part B Amendment En Bloc No. 4,2020-09-24,No,hr4447-116,C001062
House,116,2,Haaland of New Mexico Part B Amendment No. 32,2020-09-24,No,hr4447-116,C001062
House,116,2,Stevens of Michigan Part B Amendment En Bloc. No. 1,2020-09-24,No,hr4447-116,C001062
House,116,2,Don’t Break Up the T-Band Act of 2020,2020-09-23,Yes,hr451-116,C001062
House,116,2,Providing for consideration of the Expanding Access to Sustainable Energy Act (H.R. 4447); providing for consideration of the Uyghur Forced Labor Disclosure Act (H.R. 6270); and providing for consideration of ...,2020-09-23,No,hres1129-116,C001062
House,116,2,Providing for consideration of the Expanding Access to Sustainable Energy Act (H.R. 4447); providing for consideration of the Uyghur Forced Labor Disclosure Act (H.R. 6270); and providing for consideration of ...,2020-09-23,No,hres1129-116,C001062
House,116,2,"Continuing Appropriations Act, 2021",2020-09-22,Yes,hr8337-116,C001062
House,116,2,Leveraging Information on Foreign Traffickers Act,2020-09-22,Yes,hr5664-116,C001062
House,116,2,Uyghur Forced Labor Prevention Act,2020-09-22,Yes,hr6210-116,C001062
House,116,2,Pregnant Workers Fairness Act,2020-09-17,No,hr2694-116,C001062
House,116,2,Pregnant Workers Fairness Act,2020-09-17,Yes,hr2694-116,C001062
House,118,1,"To clarify jurisdiction with respect to certain Bureau of Reclamation pumped storage development, and for other purposes",2023-11-06,Yes,hr1607-118,L000397
House,118,1,SHIP Act,2023-11-03,Yes,hr3774-118,L000397
House,118,1,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2024, and for other purposes",2023-11-03,No,hr4821-118,L000397
House,118,1,"Making appropriations for the Department of the Interior, environment, and related agencies for the fiscal year ending September 30, 2024, and for other purposes",2023-11-03,Yes,hr4821-118,L000397
House,118,1,Roy of Texas Part A Amendment No. 127,2023-11-03,No,hr4821-118,L000397
House,118,1,Roy of Texas Part A Amendment No. 126,2023-11-03,No,hr4821-118,L000397
House,118,1,Ogles of Tennessee Part A Amendment No. 120,2023-11-03,No,hr4821-118,L000397
House,118,1,Ogles of Tennessee Part A Amendment No. 116,2023-11-02,No,hr4821-118,L000397
House,118,1,Norman of South Carolina Part A Amendment No. 115,2023-11-02,No,hr4821-118,L000397
House,118,1,Norman of South Carolina Part A Amendment No. 113,2023-11-02,No,hr4821-118,L000397
House,118,1,Norman of South Carolina Part A Amendment No. 112,2023-11-02,No,hr4821-118,L000397
House,118,1,Norman of South Carolina Part A Amendment No. 110,2023-11-02,No,hr4821-118,L000397
House,118,1,Nehls of Texas Part A Amendment No. 107,2023-11-02,No,hr4821-118,L000397
House,118,1,Miller of Illinois Part A Amendment No. 103,2023-11-02,No,hr4821-118,L000397
House,118,1,McCormick of Georgia Part A Amendment No. 102,2023-11-02,No,hr4821-118,L000397
House,118,1,McCormick of Georgia Part A Amendment No. 101,2023-11-02,No,hr4821-118,L000397
House,118,1,Greene of Georgia Part A Amendment No. 94,2023-11-02,No,hr4821-118,L000397
House,118,1,Gosar of Arizona Part A Amendment No. 91,2023-11-02,No,hr4821-118,L000397
House,118,1,Fulcher of Idaho Part A Amendment No. 89,2023-11-02,No,hr4821-118,L000397
House,118,1,Crane of Arizona Part A Amendment No. 86,2023-11-02,No,hr4821-118,L000397
House,117,2,CREW Act,2022-09-14,Yes,s2293-117,B001286
House,117,2,Expediting Disaster Recovery Act,2022-09-14,Yes,hr5774-117,B001286
House,117,2,National Aviation Preparedness Plan Act,2022-09-14,Yes,hr884-117,B001286
House,117,2,,2022-09-14,Yes,motion-117,B001286
House,117,2,Providing for consideration of the bill (H.R. 302) Preventing a Patronage System Act; providing for consideration of the bill (H.R. 2988) Whistleblower Protection Improvement Act; providing for consideration of the ...,2022-09-14,Yes,hres1339-117,B001286
