member_id,member_name,member_begin_date,congress,chamber,committee_id,subcommittee_id
F000455,Marcia L. Fudge,2019-02-07,116,house,HSHA,HSHA01
D000619,Rodney Davis,2019-02-07,116,house,HSHA,HSHA01
B001251,G. K. Butterfield,2019-02-07,116,house,HSHA,HSHA01
A000371,Pete Aguilar,2019-02-07,116,house,HSHA,HSHA01
F000455,Marcia L. Fudge,,116,house,HSHA,HSHA08
D000619,Rodney Davis,,116,house,HSHA,HSHA08
B001251,G. K. Butterfield,,116,house,HSHA,HSHA08
A000371,Pete Aguilar,,116,house,HSHA,HSHA08
F000455,Marcia L. Fudge,2019-01-24,116,house,HSAG,HSAG03
J000301,Dusty Johnson,2019-02-06,116,house,HSAG,HSAG03
M000312,Jim McGovern,2019-02-06,116,house,HSAG,HSAG03
D000616,Scott DesJarlais,2019-02-06,116,house,HSAG,HSAG03
A000370,Alma Adams,2019-02-06,116,house,HSAG,HSAG03
D000619,Rodney Davis,2019-02-06,116,house,HSAG,HSAG03
H001081,Jahana Hayes,2019-02-06,116,house,HSAG,HSAG03
Y000065,Ted Yoho,2019-02-06,116,house,HSAG,HSAG03
S001216,Kim Schrier,2019-02-06,116,house,HSAG,HSAG03
B001298,Don Bacon,2019-02-06,116,house,HSAG,HSAG03
H001088,Jim Hagedorn,2019-02-06,116,house,HSAG,HSAG03
L000586,Al Lawson,2019-02-06,116,house,HSAG,HSAG03
P000613,Jimmy Panetta,2019-02-06,116,house,HSAG,HSAG03
V000132,Filemon Vela,2019-01-24,116,house,HSAG,HSAG16
T000467,Glenn Thompson,2019-02-06,116,house,HSAG,HSAG16
C001119,Angie Craig,2019-02-06,116,house,HSAG,HSAG16
S001189,Austin Scott,2019-02-06,116,house,HSAG,HSAG16
S001157,David Scott,2019-02-06,116,house,HSAG,HSAG16
C001087,Rick Crawford,2019-02-06,116,house,HSAG,HSAG16
L000586,Al Lawson,2019-02-06,116,house,HSAG,HSAG16
A000372,Rick Allen,2019-02-06,116,house,HSAG,HSAG16
A000374,Ralph Abraham,2019-02-06,116,house,HSAG,HSAG16
C001112,Salud Carbajal,,116,house,HSAG,HSAG16
S001209,Abigail Spanberger,2019-01-24,116,house,HSAG,HSAG15
L000578,Doug LaMalfa,2019-02-06,116,house,HSAG,HSAG15
F000455,Marcia L. Fudge,2019-02-06,116,house,HSAG,HSAG15
A000372,Rick Allen,2019-02-06,116,house,HSAG,HSAG15
O000171,Tom O'Halleran,2019-02-06,116,house,HSAG,HSAG15
A000374,Ralph Abraham,2019-02-06,116,house,HSAG,HSAG15
P000597,Chellie Pingree,2019-02-06,116,house,HSAG,HSAG15
K000388,Trent Kelly,2019-02-06,116,house,HSAG,HSAG15
A000378,Cynthia Axne,2019-02-06,116,house,HSAG,HSAG15
S001157,David Scott,2019-01-24,116,house,HSAG,HSAG22
S001189,Austin Scott,2019-02-06,116,house,HSAG,HSAG22
C001087,Rick Crawford,2019-02-06,116,house,HSAG,HSAG22
V000132,Filemon Vela,2019-02-06,116,house,HSAG,HSAG22
B001295,Mike Bost,2019-02-06,116,house,HSAG,HSAG22
P000610,Stacey Plaskett,2019-02-06,116,house,HSAG,HSAG22
R000603,David Rouzer,2019-02-06,116,house,HSAG,HSAG22
S001209,Abigail Spanberger,2019-02-06,116,house,HSAG,HSAG22
M001198,Roger Marshall,2019-02-06,116,house,HSAG,HSAG22
D000630,Antonio Delgado,2019-02-06,116,house,HSAG,HSAG22
D000628,Neal Dunn,2019-02-06,116,house,HSAG,HSAG22
C001119,Angie Craig,2019-02-06,116,house,HSAG,HSAG22
J000301,Dusty Johnson,2019-02-06,116,house,HSAG,HSAG22
M001185,Sean Patrick Maloney,2019-02-06,116,house,HSAG,HSAG22
B001307,James Baird,2019-02-06,116,house,HSAG,HSAG22
K000368,Ann Kirkpatrick,2019-02-06,116,house,HSAG,HSAG22
A000378,Cynthia Axne,2019-02-06,116,house,HSAG,HSAG22
C001059,Jim Costa,2019-01-24,116,house,HSAG,HSAG29
R000603,David Rouzer,2019-02-06,116,house,HSAG,HSAG29
B001308,Anthony Brindisi,2019-02-06,116,house,HSAG,HSAG29
