member_id,member_name,member_begin_date,congress,chamber,committee_id
M001198,Roger Marshall,2019-01-23,116,house,HSAG
M001198,Roger Marshall,2019-01-23,116,house,HSSY
R000307,Pat Roberts,2019-01-09,116,senate,SSAF
M000355,Mitch McConnell,2019-01-09,116,senate,SSAF
B001236,John Boozman,2019-01-09,116,senate,SSAF
H001061,John Hoeven,2019-01-09,116,senate,SSAF
B001267,Michael Bennet,2019-01-09,116,senate,SSAF
P000612,David Perdue,2019-01-09,116,senate,SSAF
S001203,Tina Smith,2019-01-09,116,senate,SSAF
T000250,John Thune,2019-01-09,116,senate,SSAF
F000463,Deb Fischer,2019-01-09,116,senate,SSAF
S000320,Richard C. Shelby,2019-01-09,116,senate,SSAP
M000355,Mitch McConnell,2019-01-09,116,senate,SSAP
M001111,Patty Murray,2019-01-09,116,senate,SSAP
A000360,Lamar Alexander,2019-01-09,116,senate,SSAP
F000062,Dianne Feinstein,2019-01-09,116,senate,SSAP
C001035,Susan Collins,2019-01-09,116,senate,SSAP
R000122,Jack Reed,2019-01-09,116,senate,SSAP
G000359,Lindsey Graham,2019-01-09,116,senate,SSAP
B000575,Roy Blunt,2019-01-09,116,senate,SSAP
U000039,Tom Udall,2019-01-09,116,senate,SSAP
M000934,Jerry Moran,2019-01-09,116,senate,SSAP
S001181,Jeanne Shaheen,2019-01-09,116,senate,SSAP
H001061,John Hoeven,2019-01-09,116,senate,SSAP
B001236,John Boozman,2019-01-09,116,senate,SSAP
C001088,Christopher A. Coons,2019-01-09,116,senate,SSAP
C001047,Shelley Moore Capito,2019-01-09,116,senate,SSAP
K000393,John Kennedy,2019-01-09,116,senate,SSAP
D000618,Steve Daines,2019-01-09,116,senate,SSAP
M001183,Joe Manchin III,2019-01-09,116,senate,SSAP
V000128,Chris Van Hollen,2019-01-09,116,senate,SSAP
I000024,James M. Inhofe,2019-01-09,116,senate,SSAS
R000122,Jack Reed,2019-01-09,116,senate,SSAS
W000437,Roger Wicker,2019-01-09,116,senate,SSAS
S001181,Jeanne Shaheen,2019-01-09,116,senate,SSAS
F000463,Deb Fischer,2019-01-09,116,senate,SSAS
B001277,Richard Blumenthal,2019-01-09,116,senate,SSAS
R000605,Mike Rounds,2019-01-09,116,senate,SSAS
K000384,Tim Kaine,2019-01-09,116,senate,SSAS
T000476,Thom Tillis,2019-01-09,116,senate,SSAS
K000383,Angus King,2019-01-09,116,senate,SSAS
S001198,Dan Sullivan,2019-01-09,116,senate,SSAS
P000612,David Perdue,2019-01-09,116,senate,SSAS
W000817,Elizabeth Warren,2019-01-09,116,senate,SSAS
P000595,Gary Peters,2019-01-09,116,senate,SSAS
M001183,Joe Manchin III,2019-01-09,116,senate,SSAS
S001217,Rick Scott,2019-01-09,116,senate,SSAS
D000622,Tammy Duckworth,2019-01-09,116,senate,SSAS
C000880,Michael D. Crapo,2019-01-09,116,senate,SSBK
S000320,Richard C. Shelby,2019-01-09,116,senate,SSBK
R000122,Jack Reed,2019-01-09,116,senate,SSBK
T000461,Patrick J. Toomey,2019-01-09,116,senate,SSBK
W000805,Mark Warner,2019-01-09,116,senate,SSBK
W000817,Elizabeth Warren,2019-01-09,116,senate,SSBK
R000605,Mike Rounds,2019-01-09,116,senate,SSBK
P000612,David Perdue,2019-01-09,116,senate,SSBK
V000128,Chris Van Hollen,2019-01-09,116,senate,SSBK
T000476,Thom Tillis,2019-01-09,116,senate,SSBK
K000393,John Kennedy,2019-01-09,116,senate,SSBK
S001203,Tina Smith,2019-01-09,116,senate,SSBK
M000934,Jerry Moran,2019-01-09,116,senate,SSBK
W000437,Roger Wicker,2019-01-09,116,senate,SSCM
C000127,Maria Cantwell,2019-01-09,116,senate,SSCM
T000250,John Thune,2019-01-09,116,senate,SSCM
B000575,Roy Blunt,2019-01-09,116,senate,SSCM
B001277,Richard Blumenthal,2019-01-09,116,senate,SSCM
C001098,Ted Cruz,2019-01-09,116,senate,SSCM
F000463,Deb Fischer,2019-01-09,116,senate,SSCM
M000934,Jerry Moran,2019-01-09,116,senate,SSCM
U000039,Tom Udall,2019-01-09,116,senate,SSCM
S001198,Dan Sullivan,2019-01-09,116,senate,SSCM
P000595,Gary Peters,2019-01-09,116,senate,SSCM
D000622,Tammy Duckworth,2019-01-09,116,senate,SSCM
C001047,Shelley Moore Capito,2019-01-09,116,senate,SSCM
J000293,Ron Johnson,2019-01-09,116,senate,SSCM
R000608,Jacky Rosen,2019-01-09,116,senate,SSCM
S001217,Rick Scott,2019-01-09,116,senate,SSCM
M001183,Joe Manchin III,2019-01-09,116,senate,SSEG
B001261,John Barrasso,2019-01-09,116,senate,SSEG
W000779,Ron Wyden,2019-01-09,116,senate,SSEG
C000127,Maria Cantwell,2019-01-09,116,senate,SSEG
D000618,Steve Daines,2019-01-09,116,senate,SSEG
C001075,Bill Cassidy,2019-01-09,116,senate,SSEG
K000383,Angus King,2019-01-09,116,senate,SSEG
A000360,Lamar Alexander,2019-01-09,116,senate,SSEG
H001061,John Hoeven,2019-01-09,116,senate,SSEG
B001261,John Barrasso,2019-01-09,116,senate,SSEV
C000174,Thomas R. Carper,2019-01-09,116,senate,SSEV
I000024,James M. Inhofe,2019-01-09,116,senate,SSEV
C000141,Benjamin L. Cardin,2019-01-09,116,senate,SSEV
C001047,Shelley Moore Capito,2019-01-09,116,senate,SSEV
W000802,Sheldon Whitehouse,2019-01-09,116,senate,SSEV
R000605,Mike Rounds,2019-01-09,116,senate,SSEV
S001198,Dan Sullivan,2019-01-09,116,senate,SSEV
B001288,Cory Booker,2019-01-09,116,senate,SSEV
B001236,John Boozman,2019-01-09,116,senate,SSEV
W000437,Roger Wicker,2019-01-09,116,senate,SSEV
D000622,Tammy Duckworth,2019-01-09,116,senate,SSEV
S000320,Richard C. Shelby,2019-01-09,116,senate,SSEV
V000128,Chris Van Hollen,2019-01-09,116,senate,SSEV
W000779,Ron Wyden,2019-01-09,116,senate,SSFI
C000880,Michael D. Crapo,2019-01-09,116,senate,SSFI
R000307,Pat Roberts,2019-01-09,116,senate,SSFI
C000127,Maria Cantwell,2019-01-09,116,senate,SSFI
E000285,Michael B. Enzi,2019-01-09,116,senate,SSFI
C001056,John Cornyn,2019-01-09,116,senate,SSFI
C000174,Thomas R. Carper,2019-01-09,116,senate,SSFI
T000250,John Thune,2019-01-09,116,senate,SSFI
C000141,Benjamin L. Cardin,2019-01-09,116,senate,SSFI
B001135,Richard M. Burr,2019-01-09,116,senate,SSFI
B001267,Michael Bennet,2019-01-09,116,senate,SSFI
P000449,Rob Portman,2019-01-09,116,senate,SSFI
T000461,Patrick J. Toomey,2019-01-09,116,senate,SSFI
W000805,Mark Warner,2019-01-09,116,senate,SSFI
W000802,Sheldon Whitehouse,2019-01-09,116,senate,SSFI
C001075,Bill Cassidy,2019-01-09,116,senate,SSFI
D000618,Steve Daines,2019-01-09,116,senate,SSFI
C000141,Benjamin L. Cardin,2019-01-09,116,senate,SSFR
J000293,Ron Johnson,2019-01-09,116,senate,SSFR
S001181,Jeanne Shaheen,2019-01-09,116,senate,SSFR
C001088,Christopher A. Coons,2019-01-09,116,senate,SSFR
U000039,Tom Udall,2019-01-09,116,senate,SSFR
G000359,Lindsey Graham,2019-01-09,116,senate,SSFR
K000384,Tim Kaine,2019-01-09,116,senate,SSFR
B001261,John Barrasso,2019-01-09,116,senate,SSFR
P000449,Rob Portman,2019-01-09,116,senate,SSFR
P000603,Rand Paul,2019-01-09,116,senate,SSFR
B001288,Cory Booker,2019-01-09,116,senate,SSFR
C001098,Ted Cruz,2019-01-09,116,senate,SSFR
A000360,Lamar Alexander,2019-01-09,116,senate,SSHR
M001111,Patty Murray,2019-01-09,116,senate,SSHR
E000285,Michael B. Enzi,2019-01-09,116,senate,SSHR
B001135,Richard M. Burr,2019-01-09,116,senate,SSHR
P000603,Rand Paul,2019-01-09,116,senate,SSHR
C001035,Susan Collins,2019-01-09,116,senate,SSHR
W000817,Elizabeth Warren,2019-01-09,116,senate,SSHR
C001075,Bill Cassidy,2019-01-09,116,senate,SSHR
K000384,Tim Kaine,2019-01-09,116,senate,SSHR
R000307,Pat Roberts,2019-01-09,116,senate,SSHR
S001203,Tina Smith,2019-01-09,116,senate,SSHR
R000608,Jacky Rosen,2019-01-09,116,senate,SSHR
J000293,Ron Johnson,2019-01-09,116,senate,SSGA
P000595,Gary Peters,2019-01-09,116,senate,SSGA
P000449,Rob Portman,2019-01-09,116,senate,SSGA
C000174,Thomas R. Carper,2019-01-09,116,senate,SSGA
P000603,Rand Paul,2019-01-09,116,senate,SSGA
S001217,Rick Scott,2019-01-09,116,senate,SSGA
R000608,Jacky Rosen,2019-01-09,116,senate,SSGA
E000285,Michael B. Enzi,2019-01-09,116,senate,SSGA
H001061,John Hoeven,2019-01-09,116,senate,SLIA
U000039,Tom Udall,2019-01-09,116,senate,SLIA
B001261,John Barrasso,2019-01-09,116,senate,SLIA
C000127,Maria Cantwell,2019-01-09,116,senate,SLIA
D000618,Steve Daines,2019-01-09,116,senate,SLIA
S001203,Tina Smith,2019-01-09,116,senate,SLIA
M000934,Jerry Moran,2019-01-09,116,senate,SLIA
B000575,Roy Blunt,2019-01-09,116,senate,SSRA
M000355,Mitch McConnell,2019-01-09,116,senate,SSRA
F000062,Dianne Feinstein,2019-01-09,116,senate,SSRA
A000360,Lamar Alexander,2019-01-09,116,senate,SSRA
R000307,Pat Roberts,2019-01-09,116,senate,SSRA
S000320,Richard C. Shelby,2019-01-09,116,senate,SSRA
U000039,Tom Udall,2019-01-09,116,senate,SSRA
C001098,Ted Cruz,2019-01-09,116,senate,SSRA
W000805,Mark Warner,2019-01-09,116,senate,SSRA
C001047,Shelley Moore Capito,2019-01-09,116,senate,SSRA
W000437,Roger Wicker,2019-01-09,116,senate,SSRA
K000383,Angus King,2019-01-09,116,senate,SSRA
F000463,Deb Fischer,2019-01-09,116,senate,SSRA
C000141,Benjamin L. Cardin,2019-01-09,116,senate,SSSB
C000127,Maria Cantwell,2019-01-09,116,senate,SSSB
P000603,Rand Paul,2019-01-09,116,senate,SSSB
