hearing_congress,hearing_chamber,hearing_committee_id,hearing_date,hearing_description
116.0,house,HSHA,2019-02-14,For the People: Our American Democracy
116.0,house,HSHA,2019-02-07,Organizational Meeting
116.0,house,HSAG,2020-12-09,1890 Land Grant Institutions 130 Years of Building Equity in Agriculture
116.0,house,HSAG,2020-10-01,Challenges and Successes of Conservation Programs in 2020
116.0,house,HSAG,2020-09-24,The 2020 Wildfire Year: Response and Recovery Efforts
116.0,house,HSAG,2020-07-23,On Farm Energy Production: Impacts on Farm Income and Rural Communities
116.0,house,HSAG,2020-07-21,An Overview of the Farmers to Families Food Box Program
116.0,house,HSAG,2020-03-10,&quot;U.S. Agricultural Trade: Stakeholder Perspectives&quot;
116.0,house,HSAG,2020-03-10,"the Budget Views and Estimates Letter of the Committee on Agriculture for the agencies and programs under the jurisdiction of the Committee for fiscal year 2021; H. Res. 189, Recognizing the importance of sustained United States leadership to accelerating global progress against maternal and child malnutrition and supporting United States Agency for International Development&#39;s commitment to global nutrition through its multi-sectoral nutrition strategy; and H. Res. 742, Recognizing the continued success of the Food for Peace Act"
116.0,house,HSAG,2020-03-04,&quot;The State of the Rural Economy with Agriculture Secretary Sonny Perdue&quot;
116.0,house,HSAG,2020-02-26,&quot;Innovative Wood Products: Promoting Rural Economies and Healthy Forests&quot;
116.0,house,HSAG,2020-02-11,&quot;Economic Opportunities from Local Agricultural Markets&quot;
116.0,house,HSAG,2020-01-28,&quot;To Review Implementation of Farm Bill Conservation Programs&quot;
116.0,house,HSAG,2019-12-25,Test 4 vgs meeting doc
116.0,house,HSAG,2019-12-25,Test VGS
116.0,house,HSAG,2019-12-25,Test 3 VGS
116.0,house,HSAG,2019-12-25,Test 2 VGS
116.0,house,HSAG,2019-12-17,&quot;Access to Conservation Programs by Historically Underserved Farmers and Ranchers
116.0,house,HSAG,2019-12-11,Review of Credit Conditions: Report from Agricultural Lenders
116.0,house,HSAG,2019-12-11,Member Day
116.0,house,HSAG,2019-12-10,The Implementation of Farm Bill International Food Assistance and Development Programs
116.0,house,HSAG,2019-11-19,&quot;Review of the Office of the Assistant Secretary for Civil Rights&quot;
116.0,house,HSAG,2019-11-19,&quot;Review of Credit Conditions: Report from the Farm Credit Administration (FCA)&quot;
116.0,house,HSAG,2019-11-14,"Safeguarding American Agriculture from Wild, Invasive, and Non-Native Species"
116.0,house,HSAG,2019-10-30,&quot;Reviewing the State of Organic Agriculture - Producer Perspectives&quot;
116.0,house,HSAG,2019-10-30,"H.R. ___, to reauthorize the Commodity Futures Trading Commission"
116.0,house,HSAG,2019-10-22,&quot;Realizing the Conservation Benefits of Precision Agriculture&quot;
116.0,house,HSAG,2019-10-17,To Review Implementation of USDA Farm Bill Research Programs
116.0,house,HSAG,2019-09-26,&quot;The National Forest System: Restoring our Forest Infrastructure&quot;
116.0,house,HSAG,2019-09-19,To Review the Implementation of Federal Farm and Disaster Programs
116.0,house,HSAG,2019-07-17,&quot;Assessing the Effectiveness of the National Organic Program&quot;
116.0,house,HSAG,2019-07-16,&quot;Reviewing the State of the U.S. Livestock and Poultry Economies&quot;
116.0,house,HSAG,2019-07-11,"&quot;Building Opportunity in Rural America through Affordable, Reliable and High-Speed Broadband&quot;"
116.0,house,HSAG,2019-06-26,&quot;Brexit and Other International Developments Affecting U.S. Derivatives Markets&quot;
116.0,house,HSAG,2019-06-25,&quot;Managing for Soil Health: Securing the Conservation and Economic Benefits of Healthy Soils&quot;
116.0,house,HSAG,2019-06-20,&quot;The Potential Implications of Eliminating Broad-Based Categorical Eligibility for SNAP Households&quot;
116.0,house,HSAG,2019-06-20,&quot;How Farm Policy Helps Farmers in Adverse Conditions&quot;
116.0,house,HSAG,2019-06-12,"&quot;Increasing Resiliency, Mitigating Risk: Examining the Research and Extension Needs of Producers&quot;"
116.0,house,HSAG,2019-06-11,&quot;The State of U.S. Agricultural Products in International Markets&quot;
116.0,house,HSAG,2019-06-05,&quot;Examining the Impacts of Relocating USDA Research Agencies on Agriculture Research&quot;
116.0,house,HSAG,2019-05-21,&quot;To Review Animal Pest and Disease Prevention and Response Capabilities&quot;
116.0,house,HSAG,2019-05-15,To Review USDA Farm Bill Conservation Programs
116.0,house,HSAG,2019-05-09,Reviewing the State of the Farm Economy
116.0,house,HSAG,2019-05-01,"To receive testimony from Chairman J. Christopher Giancarlo, Commodity Futures Trading Commission, on &quot;The State of the CFTC&quot;"
116.0,house,HSAG,2019-04-30,&quot;Reviewing the State of the Dairy Economy&quot;
116.0,house,HSAG,2019-04-03,Examining the Proposed ABAWD Rule and its Impact on Hunger and Hardship
116.0,house,HSAG,2019-02-27,"To receive testimony from Secretary Sonny Perdue, U.S. Department of Agriculture on &quot;The State of the Rural Economy&quot;."
116.0,house,HSAG,2019-02-27,the Budget Views and Estimates Letter of the Committee on Agriculture for the agencies and programs under the jurisdiction of the Committee for fiscal year 2020
116.0,house,HSAG,2019-02-07,organizational matters of the Committee on Agriculture for the 116th Congress
116.0,house,HSAP,2020-12-08,The Impact on Women Seeking an Abortion but are Denied Because of an Inability to Pay
116.0,house,HSAP,2020-09-30,Indian Country COVID-19 Response and Update
116.0,house,HSAP,2020-07-15,"FY 2021 Homeland Security, Financial Services and General Government Appropriations Bills, and the Revised 302bs"
116.0,house,HSAP,2020-07-14,"Markup of FY2021 Defense, Commerce, Justice, Science, and Related Agencies and Transportation, Housing and Urban Development, and Related Agencies Appropriations Bills"
116.0,house,HSAP,2020-07-13,"FY2021 Energy and Water Development, and Related Agencies, and Labor, Health and Human Services, Education, and Related Agencies Appropriations Bills"
