hearing_congress,hearing_chamber,hearing_committee_id,hearing_date,hearing_description
116,house,HSHA,2019-02-14,For the People: Our American Democracy
116,house,HSHA,2019-02-07,Organizational Meeting
116,house,HSAG,2020-12-09,1890 Land Grant Institutions 130 Years of Building Equity in Agriculture
116,house,HSAG,2020-10-01,Challenges and Successes of Conservation Programs in 2020
116,house,HSAG,2020-09-24,The 2020 Wildfire Year: Response and Recovery Efforts
116,house,HSAG,2020-07-23,On Farm Energy Production: Impacts on Farm Income and Rural Communities
116,house,HSAG,2020-07-21,An Overview of the Farmers to Families Food Box Program
116,house,HSAG,2020-03-10,&quot;U.S. Agricultural Trade: Stakeholder Perspectives&quot;
116,house,HSAG,2020-03-10,"the Budget Views and Estimates Letter of the Committee on Agriculture for the agencies and programs under the jurisdiction of the Committee for fiscal year 2021; H. Res. 189, Recognizing the importance of sustained United States leadership to accelerating global progress against maternal and child malnutrition and supporting United States Agency for International Development&#39;s commitment to global nutrition through its multi-sectoral nutrition strategy; and H. Res. 742, Recognizing the continued success of the Food for Peace Act"
116,house,HSAG,2020-03-04,&quot;The State of the Rural Economy with Agriculture Secretary Sonny Perdue&quot;
116,house,HSAG,2020-02-26,&quot;Innovative Wood Products: Promoting Rural Economies and Healthy Forests&quot;
116,house,HSAG,2020-02-11,&quot;Economic Opportunities from Local Agricultural Markets&quot;
116,house,HSAG,2020-01-28,&quot;To Review Implementation of Farm Bill Conservation Programs&quot;
116,house,HSAG,2019-12-25,Test 4 vgs meeting doc
116,house,HSAG,2019-12-25,Test VGS
116,house,HSAG,2019-12-25,Test 3 VGS
116,house,HSAG,2019-12-25,Test 2 VGS
116,house,HSAG,2019-12-17,&quot;Access to Conservation Programs by Historically Underserved Farmers and Ranchers
116,house,HSAG,2019-12-11,Review of Credit Conditions: Report from Agricultural Lenders
116,house,HSAG,2019-12-11,Member Day
116,house,HSAG,2019-12-10,The Implementation of Farm Bill International Food Assistance and Development Programs
116,house,HSAG,2019-11-19,&quot;Review of the Office of the Assistant Secretary for Civil Rights&quot;
116,house,HSAG,2019-11-19,&quot;Review of Credit Conditions: Report from the Farm Credit Administration (FCA)&quot;
116,house,HSAG,2019-11-14,"Safeguarding American Agriculture from Wild, Invasive, and Non-Native Species"
116,house,HSAG,2019-10-30,&quot;Reviewing the State of Organic Agriculture - Producer Perspectives&quot;
116,house,HSAG,2019-10-30,"H.R. ___, to reauthorize the Commodity Futures Trading Commission"
116,house,HSAG,2019-10-22,&quot;Realizing the Conservation Benefits of Precision Agriculture&quot;
116,house,HSAG,2019-10-17,To Review Implementation of USDA Farm Bill Research Programs
116,house,HSAG,2019-09-26,&quot;The National Forest System: Restoring our Forest Infrastructure&quot;
116,house,HSAG,2019-09-19,To Review the Implementation of Federal Farm and Disaster Programs
116,house,HSAG,2019-07-17,&quot;Assessing the Effectiveness of the National Organic Program&quot;
