chamber,congress,session,description,date,position,bill_id,member_id
House,118,1,Reaffirming the State of Israel&#39;s right to exist.,2023-11-28,Not Voting,hres888-118,L000590
House,118,1,Calling on Hamas to immediately release hostages taken during October 2023 attack on Israel,2023-11-28,Not Voting,hres793-118,L000590
House,118,1,Rosendale of Montana Part B Amendment No. 134,2023-11-15,No,hr5894-118,L000590
House,118,1,Miller-Meeks of Iowa Part B Amendment No. 123,2023-11-15,No,hr5894-118,L000590
House,118,1,Miller of Illinois Part B Amendment No. 121,2023-11-15,No,hr5894-118,L000590
House,118,1,Miller of Illinois Part B Amendment No. 119,2023-11-15,No,hr5894-118,L000590
House,118,1,Miller of Illinois Part B Amendment No. 118,2023-11-15,No,hr5894-118,L000590
House,118,1,McCormick of Georgia Part B Amendment No. 117,2023-11-15,No,hr5894-118,L000590
House,118,1,Lawler of New York Part B Amendment No. 114,2023-11-15,Yes,hr5894-118,L000590
House,118,1,Higgins of Louisiana Part B Amendment No. 113,2023-11-15,No,hr5894-118,L000590
House,118,1,Higgins of Louisiana Part B Amendment No. 112,2023-11-15,No,hr5894-118,L000590
House,118,1,Hern of Oklahoma Part B Amendment No. 111,2023-11-15,Yes,hr5894-118,L000590
House,118,1,Greene of Georgia Part B Amendment No. 104,2023-11-15,No,hr5894-118,L000590
House,118,1,Greene of Georgia Part B Amendment No. 103,2023-11-15,No,hr5894-118,L000590
House,118,1,Crane of Arizona Part B Amendment No. 92,2023-11-15,No,hr5894-118,L000590
House,118,1,Biggs of Arizona Part B Amendment No. 86,2023-11-15,No,hr5894-118,L000590
House,118,1,Perry of Pennsylvania Part B Amendment No. 78,2023-11-15,No,hr5894-118,L000590
House,118,1,"Providing for consideration of the bill (H.R. 5893) Commerce, Justice, Science, and Related Agencies Appropriations Act, 2024 and providing for consideration of the bill (H.R. 5961) No Funds for Iranian ...",2023-11-15,No,hres869-118,L000590
House,118,1,"Providing for consideration of the bill (H.R. 5893) Commerce, Justice, Science, and Related Agencies Appropriations Act, 2024 and providing for consideration of the bill (H.R. 5961) No Funds for Iranian ...",2023-11-15,No,hres869-118,L000590
House,118,1,"Further Continuing Appropriations and Other Extensions Act, 2024",2023-11-14,Yes,hr6363-118,L000590
House,118,1,Biggs of Arizona Part B Amendment No. 76,2023-11-14,No,hr5894-118,L000590
House,118,1,Biggs of Arizona Part B Amendment No. 71,2023-11-14,No,hr5894-118,L000590
House,118,1,Biggs of Arizona Part B Amendment No. 70,2023-11-14,No,hr5894-118,L000590
House,118,1,Biggs of Arizona Part B Amendment No. 69,2023-11-14,No,hr5894-118,L000590
House,118,1,Good of Virginia Part B Amendment No. 55,2023-11-14,No,hr5894-118,L000590
House,118,1,Mills of Florida Part B Amendment No. 35,2023-11-14,No,hr5894-118,L000590
House,118,1,Rosendale of Montana Part B Amendment No. 33,2023-11-14,No,hr5894-118,L000590
House,118,1,Good of Virginia Part B Amendment No. 32,2023-11-14,No,hr5894-118,L000590
House,118,1,Good of Virginia Part B Amendment No. 28,2023-11-14,No,hr5894-118,L000590
House,118,1,Miller of Illinois Part B Amendment No. 1,2023-11-14,No,hr5894-118,L000590
House,118,1,"Providing for consideration of the bill (H.R. 5894) making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September ...",2023-11-14,No,hres864-118,L000590
House,118,1,"Providing for consideration of the bill (H.R. 5894) making appropriations for the Departments of Labor, Health and Human Services, and Education, and related agencies for the fiscal year ending September ...",2023-11-14,No,hres864-118,L000590
House,118,1,"Impeaching Alejandro Nicholas Mayorkas, Secretary of Homeland Security, for high crimes and misdemeanors",2023-11-13,Yes,hres863-118,L000590
House,118,1,"To rename the Department of Veterans Affairs community-based outpatient clinic in Hinesville, Georgia, as the “John Gibson, Dan James, William Sapp, and Frankie Smiley VA Clinic”",2023-11-13,Yes,hr593-118,L000590
House,118,1,Debbie Smith Act,2023-11-13,Yes,hr1105-118,L000590
House,118,1,Tenney of New York Part B Amendment No. 101,2023-11-09,No,hr4664-118,L000590
House,118,1,Tenney of New York Part B Amendment No. 100,2023-11-09,No,hr4664-118,L000590
House,118,1,Salazar of Florida Part B Amendment No. 95,2023-11-08,No,hr4664-118,L000590
House,118,1,Rosendale of Montana Part B Amendment No. 92,2023-11-08,No,hr4664-118,L000590
House,118,1,Rosendale of Montana Part B Amendment No. 91,2023-11-08,No,hr4664-118,L000590
House,118,1,Ogles of Tennessee Part B Amendment No. 87,2023-11-08,Not Voting,hr4664-118,L000590
House,118,1,Ogles of Tennessee Part B Amendment No. 84,2023-11-08,No,hr4664-118,L000590
House,118,1,Harshbarger of Tennessee Part B Amendment No. 63,2023-11-08,No,hr4664-118,L000590
House,118,1,Gaetz of Florida Part B Amendment No. 54,2023-11-08,No,hr4664-118,L000590
House,118,1,Collins of Georgia Part B Amendment No. 44,2023-11-08,No,hr4664-118,L000590
House,118,1,Burchett of Tennessee Part B Amendment No. 42,2023-11-08,No,hr4664-118,L000590
House,118,1,Bean of Florida Part B Amendment No. 39,2023-11-08,No,hr4664-118,L000590
House,118,1,Barr of Kentucky Part B Amendment No. 38,2023-11-08,No,hr4664-118,L000590
House,118,1,Barr of Kentucky Part B Amendment No. 37,2023-11-08,No,hr4664-118,L000590
House,118,1,Perry of Pennsylvania Part B Amendment No. 24,2023-11-08,No,hr4664-118,L000590
House,118,1,Ogles of Tennessee Part B Amendment No. 21,2023-11-08,No,hr4664-118,L000590
House,118,1,Perry of Pennsylvania Part B Amendment No. 18,2023-11-08,No,hr4664-118,L000590
House,118,1,Harshbarger of Tennessee Part B Amendment No. 15,2023-11-08,No,hr4664-118,L000590
House,118,1,Grothman of Wisconsin Part B Amendment No. 9,2023-11-08,No,hr4664-118,L000590
House,118,1,Molinaro of New York Part B Amendment No. 2,2023-11-08,Yes,hr4664-118,L000590
House,118,1,"Censuring Representative Rashida Tlaib for promoting false narratives regarding the October 7, 2023, Hamas attack on Israel and for calling for the destruction of the State of Israel",2023-11-07,Yes,hres845-118,L000590
House,118,1,Self of Texas Part B Amendment No. 74,2023-11-07,No,hr4820-118,L000590
House,118,1,Santos of New York Part B Amendment No. 73,2023-11-07,No,hr4820-118,L000590
House,118,1,Norman of South Carolina Part B Amendment No. 66,2023-11-07,No,hr4820-118,L000590
House,118,1,Norman of South Carolina Part B Amendment No. 64,2023-11-07,No,hr4820-118,L000590
House,118,1,Norman of South Carolina Part B Amendment No. 62,2023-11-07,No,hr4820-118,L000590
House,118,1,Massie of Kentucky Part B Amendment No. 60,2023-11-07,No,hr4820-118,L000590
House,118,1,Massie of Kentucky Part B Amendment No. 59,2023-11-07,No,hr4820-118,L000590
House,118,1,Hageman of Wyoming Part B Amendment No. 57,2023-11-07,No,hr4820-118,L000590
House,118,1,Schweikert of Arizona Part B Amendment No. 47,2023-11-07,No,hr4820-118,L000590
House,118,1,Schweikert of Arizona Part B Amendment No. 46,2023-11-07,No,hr4820-118,L000590
House,118,1,Grothman of Wisconsin Part B Amendment No. 37,2023-11-07,No,hr4820-118,L000590
House,118,1,Blunt Rochester of Delaware Part B Amendment No. 36,2023-11-07,Yes,hr4820-118,L000590
House,118,1,Davidson of Ohio Part B Amendment No. 34,2023-11-07,No,hr4820-118,L000590
House,118,1,"Censuring Representative Rashida Tlaib for promoting false narratives regarding the October 7, 2023, Hamas attack on Israel and for calling for the destruction of the State of Israel",2023-11-07,Yes,hres845-118,L000590
House,118,1,Brecheen of Oklahoma Part B Amendment No. 30,2023-11-07,No,hr4820-118,L000590
House,118,1,Grothman of Wisconsin Part B Amendment No. 29,2023-11-07,No,hr4820-118,L000590
House,118,1,Perry of Pennsylvania Part B Amendment No. 25,2023-11-07,No,hr4820-118,L000590
House,118,1,Perry of Pennsylvania Part B Amendment No. 20,2023-11-07,No,hr4820-118,L000590
House,118,1,Escobar of Texas Part B Amendment No. 5,2023-11-07,Yes,hr4820-118,L000590
House,118,1,"Providing for consideration of the bill (H.R. 4664) making appropriations for financial services and general government for the fiscal year ending September 30, 2024, and for other purposes",2023-11-07,No,hres847-118,L000590
House,118,1,"Providing for consideration of the bill (H.R. 4664) making appropriations for financial services and general government for the fiscal year ending September 30, 2024, and for other purposes",2023-11-07,No,hres847-118,L000590
House,118,1,Fort San Geronimo Preservation Act,2023-11-06,Yes,hr359-118,L000590
House,118,1,"To clarify jurisdiction with respect to certain Bureau of Reclamation pumped storage development, and for other purposes",2023-11-06,Yes,hr1607-118,L000590
House,118,1,SHIP Act,2023-11-03,Yes,hr3774-118,L000590
