,id,congress
106,C000174,116
107,M000934,116
108,C001047,116
109,C001035,116
110,P000595,116
111,R000307,116
112,T000461,116
113,I000024,116
114,S001217,116
115,R000608,116
116,W000805,116
117,C001075,116
118,M000355,116
119,W000779,116
120,B001277,116
121,W000802,116
122,P000612,116
123,K000383,116
124,B001236,116
125,B001267,116
126,L000594,116
127,C001088,116
128,K000384,116
129,S001181,116
130,J000293,116
131,S001198,116
132,S001203,116
133,W000437,116
134,H001061,116
135,F000062,116
136,A000360,116
137,B001135,116
138,B000575,116
139,K000393,116
140,C001098,116
141,U000039,116
142,R000605,116
143,R000122,116
144,T000476,116
145,D000622,116
146,B001261,116
147,P000449,116
148,C000141,116
149,M001183,116
150,C000880,116
151,M001111,116
152,D000618,116
153,V000128,116
154,C001056,116
155,C000127,116
156,E000285,116
157,B001288,116
158,W000817,116
159,S000320,116
270,T000278,117
271,C000174,117
272,C000127,117
273,W000802,117
274,S001217,117
275,H000273,117
276,S001198,117
277,C001035,117
278,B001236,117
279,M000355,117
280,H000601,117
281,P000595,117
282,W000805,117
283,C001047,117
284,F000463,117
285,G000359,117
286,S001203,117
287,T000250,117
288,C001088,117
289,W000779,117
290,T000461,117
291,M000934,117
292,R000608,117
293,B000575,117
294,L000571,117
295,M001198,117
296,H001061,117
297,P000603,117
298,K000383,117
299,B001267,117
300,R000605,117
301,B001135,117
302,D000622,117
303,I000024,117
349,W000802,118
350,B001267,118
351,C001047,118
352,H000273,118
353,S001217,118
354,T000278,118
355,P000595,118
356,C000174,118
357,D000622,118
358,B001277,118
359,S001203,118
360,M000355,118
361,S001198,118
362,B001236,118
363,C001088,118
