member_id,congress,departure_date,destination,sponsor,document_id,document_url
L000590,118,2023-07-01,Israel,American Israel Education Foundation,500026647,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026647.pdf
L000590,118,2023-04-12,"Chicago, IL","Jobs for the Future, the Bill & Melinda Gates Foundation, and Conrad N. Hilton Foundation",500026101,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026101.pdf
L000590,118,2023-02-13,"Miami, FL",Global Women's Innovation Network,500025831,https://disclosures-clerk.house.gov/gtimages/ST/2023/500025831.pdf
L000590,117,2022-08-23,"Boston, MA","obs for the Future, Lumina Foundation, and the Bill & Melinda Gates Foundation.",500025187,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025187.pdf
L000590,117,2022-04-19,"Harrisonburg, VA","Jobs for the Future, and the Joyce Foundation",500024279,https://disclosures-clerk.house.gov/gtimages/ST/2022/500024279.pdf
L000590,116,2019-11-02,"Jerusalem, Israel",American Israel Education Foundation,500022601,https://disclosures-clerk.house.gov/gtimages/MT/2019/500022601.pdf
L000590,116,2019-11-02,"Tel Aviv, Israel",American Israel Education Foundation,500022601,https://disclosures-clerk.house.gov/gtimages/MT/2019/500022601.pdf
L000590,116,2019-11-02,"Tiberias, Israel",American Israel Education Foundation,500022601,https://disclosures-clerk.house.gov/gtimages/MT/2019/500022601.pdf
L000590,116,2019-08-27,"Denver, CO",Jobs for the Future,500022159,https://disclosures-clerk.house.gov/gtimages/ST/2019/500022159.pdf
L000590,116,2019-08-16,"Queenstown, MD",Aspen Institute,500022329,https://disclosures-clerk.house.gov/gtimages/ST/2019/500022329.pdf
L000590,116,2019-05-29,"Stevensville, MD",Postsecondary National policy Institute; Bill and Melinda Gates Foundation; Kresge Foundation; Lumin,500021476,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021476.pdf
L000590,116,2019-04-05,"Middleburg, VA",Center Forward,500020856,https://disclosures-clerk.house.gov/gtimages/ST/2019/500020856.pdf
L000579,117,2022-10-25,"Knoxville, TN",Foundation for Nuclear Studies,500025542,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025542.pdf
L000579,116,2020-01-05,"Las Vegas, NV",Consumer Technology Association,500022737,https://disclosures-clerk.house.gov/gtimages/ST/2020/500022737.pdf
L000579,116,2020-01-05,"Las Vegas, NV",Consumer Technology Association,500022745,https://disclosures-clerk.house.gov/gtimages/ST/2020/500022745.pdf
L000579,116,2019-12-06,"Baltimore, MD",US Association of Former Members of Congress,500022669,https://disclosures-clerk.house.gov/gtimages/ST/2019/500022669.pdf
L000579,116,2019-08-25,"Stockholm, Sweden",Woodrow Wilson International Center for Scholars,500022106,https://disclosures-clerk.house.gov/gtimages/ST/2019/500022106.pdf
L000579,116,2019-08-25,"Moscow, Russia",Woodrow Wilson International Center for Scholars,500022106,https://disclosures-clerk.house.gov/gtimages/ST/2019/500022106.pdf
L000579,116,2019-08-21,"St. Louis, MO",St. Louis AgriBusiness Club,500022042,https://disclosures-clerk.house.gov/gtimages/ST/2019/500022042.pdf
L000579,116,2019-05-10,"Baton Rouge, LA",Bipartisan Policy Center; Square One Foundation,500021195,https://disclosures-clerk.house.gov/gtimages/MT/2019/500021195.pdf
L000579,116,2019-05-10,"Port Fourchon, LA",Bipartisan Policy Center; Square One Foundation,500021195,https://disclosures-clerk.house.gov/gtimages/MT/2019/500021195.pdf
L000579,116,2019-05-10,"Baton Rouge, LA",Bipartisan Policy Center; Square One Foundation,500021196,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021196.pdf
L000579,116,2019-05-10,"Port Fourchon, LA",Bipartisan Policy Center; Square One Foundation,500021196,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021196.pdf
L000579,116,2019-05-02,"New York, NY",United Nations Foundation,500021237,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021237.pdf
L000579,116,2019-04-17,"Cambridge, MA",Massachusetts Institute of Technology; Frankel Foundation,500020942,https://disclosures-clerk.house.gov/gtimages/ST/2019/500020942.pdf
L000579,116,2019-04-17,"Boston, MA",Massachusetts Institute of Technology,500021347,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021347.pdf
L000579,116,2019-04-04,"Antwerp, Belgium",Humpty Dumpty Institute; Chamber of Commerce and Industry (VOKA) Antwerp-Waasland,500020905,https://disclosures-clerk.house.gov/gtimages/MT/2019/500020905.pdf
L000579,116,2019-03-15,"San Diego, CA",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,500020803,https://disclosures-clerk.house.gov/gtimages/MT/2019/500020803.pdf
L000579,116,2019-02-15,"Jerusalem, Israel",J Street Education Fund; Leonard Hill Charitable Trust,500020739,https://disclosures-clerk.house.gov/gtimages/MT/2019/500020739.pdf
L000579,116,2019-02-15,"Tel Aviv, Israel",J Street Education Fund; Leonard Hill Charitable Trust,500020739,https://disclosures-clerk.house.gov/gtimages/MT/2019/500020739.pdf
L000579,115,2018-08-15,"Vancouver, Canada",Aspen Institute; Henry Luce Foundation; Democracy Fund; Rockefeller Brothers Fund,500020207,https://disclosures-clerk.house.gov/gtimages/MT/2018/500020207.pdf
L000579,115,2018-08-04,"Gorongosa NP, Mozambique",International Conservation Caucus Foundation; Band Foundation,500020099,https://disclosures-clerk.house.gov/gtimages/ST/2018/500020099.pdf
B001274,117,2022-05-04,"Williamsburg, VA",Congressional Institute,500024360,https://disclosures-clerk.house.gov/gtimages/ST/2022/500024360.pdf
B001274,117,2021-10-13,"Williamsburg, VA",Congressional Institute,500023481,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023481.pdf
B001274,117,2021-10-13,"Williamsburg, VA",Congressional institute,500023692,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023692.pdf
B001274,117,2021-06-17,"Cambridge, MD",Congressional Institute,500023284,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023284.pdf
B001274,117,2021-06-17,"Cambridge, MD",Congressional Institute,500023290,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023290.pdf
B001274,117,2021-02-11,"Miami, FL","Conservative Partnership Institute, Inc.",500023106,https://disclosures-clerk.house.gov/gtimages/MT/2021/500023106.pdf
B001274,116,2019-10-10,"Lexington, VA",Heritage Foundation,500022409,https://disclosures-clerk.house.gov/gtimages/ST/2019/500022409.pdf
B001274,116,2019-08-30,"Leesburg, VA",The Heritage Foundation,500022108,https://disclosures-clerk.house.gov/gtimages/ST/2019/500022108.pdf
B001274,116,2019-06-05,"Hot Springs, VA",Congressional Institute,500021530,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021530.pdf
B001274,116,2019-05-31,"Gettysburg, PA",Heritage Foundation,500021504,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021504.pdf
B001274,116,2019-05-02,"Baltimore, MD",Congressional Institute,500021101,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021101.pdf
B001274,115,2018-11-08,"New Orleans, LA","Louisiana Sugar Cane Foundation, Inc.",500020483,https://disclosures-clerk.house.gov/gtimages/ST/2018/500020483.pdf
B001274,115,2018-11-08,"Thibodaux, LA","Louisiana Sugar Cane Foundation, Inc.",500020483,https://disclosures-clerk.house.gov/gtimages/ST/2018/500020483.pdf
B001274,115,2018-10-29,"Sunnyvale, CA",Information Technology and Innovation Foundation,500020517,https://disclosures-clerk.house.gov/gtimages/ST/2018/500020517.pdf
B001274,115,2018-10-24,"Bedford, PA",Heritage Foundation,500020445,https://disclosures-clerk.house.gov/gtimages/ST/2018/500020445.pdf
B001274,115,2018-10-24,"Bedford, PA",Heritage Foundation,500020449,https://disclosures-clerk.house.gov/gtimages/ST/2018/500020449.pdf
B001274,115,2018-10-17,"Clewiston, FL",South Florida Agricultural Foundation,500020447,https://disclosures-clerk.house.gov/gtimages/ST/2018/500020447.pdf
B001274,115,2018-10-17,"West Palm Beach, FL",South Florida Agricultural Foundation,500020447,https://disclosures-clerk.house.gov/gtimages/ST/2018/500020447.pdf
B001274,115,2018-08-13,"Altoona, IA",Iowa Renewable Fuels Association; National Biodiesel Foundation; Renewable Fuels Foundation; Iowa Co,500020105,https://disclosures-clerk.house.gov/gtimages/ST/2018/500020105.pdf
B001274,115,2018-08-13,"LeMars, IA",Iowa Renewable Fuels Association; National Biodiesel Foundation; Renewable Fuels Foundation; Iowa Co,500020105,https://disclosures-clerk.house.gov/gtimages/ST/2018/500020105.pdf
W000804,118,2023-07-01,Israel,American Israel Education Foundation,500026669,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026669.pdf
W000804,118,2023-05-03,"Hot Springs, VA",Congressional Institute,500026284,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026284.pdf
W000804,117,2022-06-01,"Williamsburg, VA",Congressional Institute,500024826,https://disclosures-clerk.house.gov/gtimages/ST/2022/500024826.pdf
W000804,117,2022-06-01,"Williamsburg, VA",Congressional Institute,500024566,https://disclosures-clerk.house.gov/gtimages/ST/2022/500024566.pdf
W000804,117,2022-06-01,"Williamsburg, VA",Congressional Institute,500024602,https://disclosures-clerk.house.gov/gtimages/ST/2022/500024602.pdf
W000804,117,2022-05-04,"Williamsburg, VA",Congressional Institute,500024556,https://disclosures-clerk.house.gov/gtimages/ST/2022/500024556.pdf
W000804,117,2022-05-04,"Williamsburg, VA",Congressional Institute,500024429,https://disclosures-clerk.house.gov/gtimages/ST/2022/500024429.pdf
W000804,117,2021-08-17,"Great Falls, Montana",Foundation for Rural Service,500023306,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023306.pdf
W000804,117,2021-08-17,"Havre, Montana",Foundation for Rural Service,500023306,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023306.pdf
W000804,117,2021-06-17,"Cambridge, MD",Congressional Institute,500023141,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023141.pdf
W000804,116,2019-05-02,"Baltimore, MD",Congressional Institute,500021089,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021089.pdf
W000804,115,2018-06-30,"Riga, Latvia",Hudson Institute; Baltic-American Freedom Foundation,500019952,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019952.pdf
W000804,115,2018-06-30,"Tallinn, Estonia",Hudson Institute; Baltic-American Freedom Foundation,500019952,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019952.pdf
W000804,115,2018-06-30,"Vilnius, Lithuania",Hudson Institute; Baltic-American Freedom Foundation,500019952,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019952.pdf
W000804,115,2018-05-26,"Jerusalem, Israel",American Israel Education Foundation,500019890,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019890.pdf
W000804,115,2018-05-26,"Tel Aviv, Israel",American Israel Education Foundation,500019890,https://disclosures-clerk.house.gov/gtimages/ST/2018/500019890.pdf
W000804,115,2018-03-08,"Cambridge, MD",Congressional Institute,500018975,https://disclosures-clerk.house.gov/gtimages/ST/2018/500018975.pdf
W000804,115,2017-11-16,"Richmond, VA",Heritage Foundation,500018537,https://disclosures-clerk.house.gov/gtimages/ST/2017/500018537.pdf
W000804,115,2017-08-20,"Atlanta, GA",Federal Home Loan Bank of Atlanta,500018084,https://disclosures-clerk.house.gov/gtimages/ST/2017/500018084.pdf
W000804,115,2017-05-11,"Gettysburg, PA",The Heritage Foundation,500017415,https://disclosures-clerk.house.gov/gtimages/ST/2017/500017415.pdf
D000617,118,2023-08-11,"Las Vegas, NV",SeedAI,500026787,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026787.pdf
D000617,118,2023-07-29,Arctic National Wildlife Refug,American Lands Project,500026707,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026707.pdf
D000617,118,2023-05-07,"Dallas, TX",Women's High Tech Coalition,500026414,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026414.pdf
D000617,118,2023-04-12,"Chicago, IL",Jobs for,500026174,https://disclosures-clerk.house.gov/gtimages/ST/2023/500026174.pdf
D000617,117,2022-09-07,"Seattle, WA",Information Technology and Innovation Foundation,500025319,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025319.pdf
D000617,117,2022-09-07,"Seattle, WA",Information Technology and Innovation Foundation,500025327,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025327.pdf
D000617,117,2022-08-13,"Tel Aviv, Israel",Rebuilding Alliance and Rotary Club Woodside Portola Valley Foundation,500025195,https://disclosures-clerk.house.gov/gtimages/ST/2022/500025195.pdf
D000617,117,2022-04-20,"Boston, MA",Massachusetts Institute of Technology,500024286,https://disclosures-clerk.house.gov/gtimages/ST/2022/500024286.pdf
D000617,117,2022-04-20,"Boston, MA",Massachusetts Institute of Technology,500024547,https://disclosures-clerk.house.gov/gtimages/ST/2022/500024547.pdf
D000617,117,2022-03-11,"Middleburg, VA",Center Forward,500024073,https://disclosures-clerk.house.gov/gtimages/ST/2022/500024073.pdf
D000617,117,2021-11-12,"Middleburg, VA",Center Forward,500023871,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023871.pdf
D000617,117,2021-11-12,"Middleburg, VA",Center Forward,500023872,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023872.pdf
D000617,117,2021-11-12,"Middleburg, VA",Center Forward,500023878,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023878.pdf
D000617,117,2021-11-12,"Middleburg, VA",Center Forward,500023842,https://disclosures-clerk.house.gov/gtimages/ST/2021/500023842.pdf
D000617,116,2020-02-25,"Santa Clara, CA",US Association of Former Members of Congress,500023031,https://disclosures-clerk.house.gov/gtimages/ST/2020/500023031.pdf
D000617,116,2020-02-20,"San Juan, PR",Information Technology and Innovation Foundation,500023040,https://disclosures-clerk.house.gov/gtimages/ST/2020/500023040.pdf
D000617,116,2019-06-29,"Jerusalem, Israel",American Israel Education Foundation,500021781,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021781.pdf
D000617,116,2019-06-29,"Tel Aviv, Israel",American Israel Education Foundation,500021781,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021781.pdf
D000617,116,2019-06-29,"Tiberias, Israel",American Israel Education Foundation,500021781,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021781.pdf
D000617,116,2019-06-27,"Brussels, Belgium",German Marshall Fund,500021768,https://disclosures-clerk.house.gov/gtimages/MT/2019/500021768.pdf
G000584,116,2020-02-17,"Berlin, Germany",Global Women's Innovation Network,500022927,https://disclosures-clerk.house.gov/gtimages/ST/2020/500022927.pdf
G000584,116,2019-10-13,"Las Vegas, NV",American Gaming Association,500022439,https://disclosures-clerk.house.gov/gtimages/ST/2019/500022439.pdf
G000584,116,2019-10-06,"Atlanta, GA",Global Health Council,500022381,https://disclosures-clerk.house.gov/gtimages/ST/2019/500022381.pdf
G000584,116,2019-05-19,"Nashville, TN",US Association of Former Members of Congress,500021312,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021312.pdf
G000584,116,2019-05-02,"Baltimore, MD",Congressional Institute,500021033,https://disclosures-clerk.house.gov/gtimages/ST/2019/500021033.pdf
