related_bill_id,related_bill_title,related_bill_introduction_date,bill_slug,bill_congress,member_id
hr6056-118,"To direct the Secretary of Defense to submit to the Committees on Armed Services of the Senate and House of Representatives a report on at-home child care programs of the Department of Defense, and for other purposes.",2023-10-25,hr6056,118,L000590
hr5997-118,"To require the Secretary of Energy to further develop and support the adoption of a voluntary streamlined permitting and inspection process for authorities having jurisdiction over the permitting of qualifying distributed energy systems, and for other purposes.",2023-10-19,hr5997,118,L000590
hr5720-118,"To assist trafficking survivors who lack government issued identification in accessing air travel, and for other purposes.",2023-09-26,hr5720,118,L000590
hr5645-118,To establish a matched savings program for low-income students.,2023-09-21,hr5645,118,L000590
hr5598-118,To amend the SUPPORT for Patients and Communities Act to reauthorize a youth prevention and recovery initiative.,2023-09-20,hr5598,118,L000590
hr5253-118,"To direct the Secretary of the Air Force to conduct certain studies relating to members of the Air Force assigned to Creech Air Force Base, and for other purposes.",2023-08-22,hr5253,118,L000590
hr4796-118,To establish a grant program to fund reproductive health patient navigators for individuals seeking abortion services.,2023-07-20,hr4796,118,L000590
hr3377-118,"To discourage speculative oil and gas leasing and to promote enhanced multiple use management of public land and National Forest System land, and for other purposes.",2023-05-16,hr3377,118,L000590
hr3240-118,"To amend title 36, United States Code, to grant a Federal charter to the Veterans Association of Real Estate Professionals.",2023-05-11,hr3240,118,L000590
hr2715-118,To require full funding of part A of title I of the Elementary and Secondary Education Act of 1965 and the Individuals with Disabilities Education Act.,2023-04-19,hr2715,118,L000590
hr2602-118,"To allow nonprofit child care providers to participate in certain loan programs of the Small Business Administration, and for other purposes.",2023-04-13,hr2602,118,L000590
hr2429-118,To establish the Open Access Evapotranspiration (OpenET) Data Program.,2023-03-30,hr2429,118,L000590
hr1639-118,To direct the Secretary of Veterans Affairs to establish the Zero Suicide Initiative pilot program of the Department of Veterans Affairs.,2023-03-17,hr1639,118,L000590
hr8722-117,"To reauthorize the program for mental health awareness training grants, and for other purposes.",2022-08-16,hr8722,117,L000590
hr8692-117,To amend title XVIII of the Social Security Act to make improvements to the redistribution of residency slots under the Medicare program after a hospital closes.,2022-08-09,hr8692,117,L000590
hr8434-117,"To amend the Infrastructure Investment and Jobs Act to modify the requirements for an eligible project under the competitive grant program for large-scale water recycling and reuse projects, to provide for an additional authorization of appropriations for that program, to repeal the termination of authority for that program, and for other purposes.",2022-07-20,hr8434,117,L000590
hr8415-117,"To amend the Water Resources Development Act of 2000 to modify the authorization of appropriations for the Las Vegas Wash program, and for other purposes.",2022-07-19,hr8415,117,L000590
hr7748-117,"To amend the Workforce Innovation and Opportunity Act to award grants to States to develop, convene, or expand industry or sector partnerships, and for other purposes.",2022-05-12,hr7748,117,L000590
hr7383-117,"To establish a program ensuring access to accredited continuing medical education for primary care physicians and other health care providers at Federally-qualified health centers and rural health clinics, to provide training and clinical support for primary care providers to practice at their full scope and improve access to care for patients in underserved areas.",2022-04-04,hr7383,117,L000590
hr6588-117,"To establish a grant program within the Department of Labor to support the creation, implementation, and expansion of registered apprenticeship programs in cybersecurity.",2022-02-03,hr6588,117,L000590
hr6273-117,To direct the Secretary of Veterans Affairs to establish the Zero Suicide Initiative pilot program of the Department of Veterans Affairs.,2021-12-14,hr6273,117,L000590
hr5141-117,To amend the Public Health Service Act to expand the allowable use criteria for new access points grants for community health centers.,2021-08-31,hr5141,117,L000590
hr4832-117,To establish the Open Access Evapotranspiration (OpenET) Data Program.,2021-07-29,hr4832,117,L000590
hr4145-117,To establish a matched savings program for low-income students.,2021-06-24,hr4145,117,L000590
hr3155-117,To allow nonprofit child care providers to participate in the loan programs of the Small Business Administration.,2021-05-12,hr3155,117,L000590
hr2986-117,"To discourage speculative oil and gas leasing and to promote enhanced multiple use management of public land and National Forest System land, and for other purposes.",2021-05-04,hr2986,117,L000590
hr2929-117,"To provide funding for the Assistant Secretary for Mental Health and Substance Use to award grants for the purpose of supporting virtual peer behavioral health support services, and for other purposes.",2021-04-30,hr2929,117,L000590
hr1353-117,"To amend title XIX of the Social Security Act to increase Federal support to State Medicaid programs during economic downturns, and for other purposes.",2021-02-25,hr1353,117,L000590
hr764-117,To require full funding of part A of title I of the Elementary and Secondary Education Act of 1965 and the Individuals with Disabilities Education Act.,2021-02-03,hr764,117,L000590
hr7932-116,To award funds for community college and industry partnerships.,2020-08-04,hr7932,116,L000590
hr7541-116,To direct the Secretary of Veterans Affairs to establish the Zero Suicide Initiative pilot program of the Department of Veterans Affairs.,2020-07-09,hr7541,116,L000590
hr6539-116,"To amend title XIX of the Social Security Act to increase Federal support to State Medicaid programs during economic downturns, and for other purposes.",2020-04-17,hr6539,116,L000590
hr6357-116,To authorize the Secretary of Labor to take certain actions to effectively respond during the COVID-19 public health emergency declared under section 319 of the Public Health Service Act to the needs of individuals participating in community service activities under title V of the Older Americans Act of 1965.,2020-03-23,hr6357,116,L000590
hr5789-116,To allow nonprofit child care providers to participate in the loan programs of the Small Business Administration.,2020-02-06,hr5789,116,L000590
hr4654-116,"To amend title 38, United States Code, to provide for the treatment of certain overpayments made by educational institutions to persons entitled to educational assistance under the laws administered by the Secretary of Veterans Affairs, and for other purposes.",2019-10-11,hr4654,116,L000590
hjres76-116,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to 'Borrower Defense Institutional Accountability'.",2019-09-26,hjres76,116,L000590
hr4154-116,To direct the Under Secretary of Health of the Department of Veterans Affairs to contact certain veterans to encourage such veterans to receive medical examinations furnished or paid for by the Secretary of Veterans Affairs.,2019-08-02,hr4154,116,L000590
hr3810-116,To modify the penalties for violations of the Telephone Consumer Protection Act of 1993.,2019-07-17,hr3810,116,L000590
hr3658-116,"To require policies and programs to prevent and treat gambling disorder among members of the Armed Forces and their dependents, and for other purposes.",2019-07-09,hr3658,116,L000590
hr3512-116,"To protect students of institutions of higher education and the taxpayer investment in institutions of higher education by improving oversight and accountability of institutions of higher education, particularly for-profit colleges, improving protections for students and borrowers, and ensuring the integrity of postsecondary education programs, and for other purposes.",2019-06-26,hr3512,116,L000590
