member_id,member_name,member_begin_date,congress,chamber,committee_id,subcommittee_id
M001198,Roger Marshall,2019-02-06,116,house,HSAG,HSAG22
M001198,Roger Marshall,2019-02-06,116,house,HSAG,HSAG29
M001198,Roger Marshall,,116,house,HSSY,HSSY15
M001198,Roger Marshall,,116,house,HSSY,HSSY18
B001236,John Boozman,,116,senate,SSAF,SSAF13
M000355,Mitch McConnell,,116,senate,SSAF,SSAF13
B001267,Michael Bennet,,116,senate,SSAF,SSAF13
H001061,John Hoeven,,116,senate,SSAF,SSAF13
S001203,Tina Smith,,116,senate,SSAF,SSAF13
P000612,David Perdue,,116,senate,SSAF,SSAF13
R000307,Pat Roberts,,116,senate,SSAF,SSAF13
B001267,Michael Bennet,,116,senate,SSAF,SSAF14
B001236,John Boozman,,116,senate,SSAF,SSAF14
P000612,David Perdue,,116,senate,SSAF,SSAF14
T000250,John Thune,,116,senate,SSAF,SSAF14
R000307,Pat Roberts,,116,senate,SSAF,SSAF14
S001203,Tina Smith,,116,senate,SSAF,SSAF15
M000355,Mitch McConnell,,116,senate,SSAF,SSAF15
H001061,John Hoeven,,116,senate,SSAF,SSAF15
B001267,Michael Bennet,,116,senate,SSAF,SSAF15
T000250,John Thune,,116,senate,SSAF,SSAF15
F000463,Deb Fischer,,116,senate,SSAF,SSAF15
R000307,Pat Roberts,,116,senate,SSAF,SSAF15
P000612,David Perdue,,116,senate,SSAF,SSAF17
S001203,Tina Smith,,116,senate,SSAF,SSAF17
F000463,Deb Fischer,,116,senate,SSAF,SSAF17
R000307,Pat Roberts,,116,senate,SSAF,SSAF17
F000463,Deb Fischer,,116,senate,SSAF,SSAF16
M000355,Mitch McConnell,,116,senate,SSAF,SSAF16
B001236,John Boozman,,116,senate,SSAF,SSAF16
H001061,John Hoeven,,116,senate,SSAF,SSAF16
T000250,John Thune,,116,senate,SSAF,SSAF16
R000307,Pat Roberts,,116,senate,SSAF,SSAF16
B000575,Roy Blunt,,116,senate,SSAP,SSAP18
M001111,Patty Murray,,116,senate,SSAP,SSAP18
S000320,Richard C. Shelby,,116,senate,SSAP,SSAP18
A000360,Lamar Alexander,,116,senate,SSAP,SSAP18
R000122,Jack Reed,,116,senate,SSAP,SSAP18
G000359,Lindsey Graham,,116,senate,SSAP,SSAP18
S001181,Jeanne Shaheen,,116,senate,SSAP,SSAP18
M000934,Jerry Moran,,116,senate,SSAP,SSAP18
C001047,Shelley Moore Capito,,116,senate,SSAP,SSAP18
K000393,John Kennedy,,116,senate,SSAP,SSAP18
M001183,Joe Manchin III,,116,senate,SSAP,SSAP18
M000934,Jerry Moran,,116,senate,SSAP,SSAP16
S001181,Jeanne Shaheen,,116,senate,SSAP,SSAP16
A000360,Lamar Alexander,,116,senate,SSAP,SSAP16
F000062,Dianne Feinstein,,116,senate,SSAP,SSAP16
C001035,Susan Collins,,116,senate,SSAP,SSAP16
R000122,Jack Reed,,116,senate,SSAP,SSAP16
G000359,Lindsey Graham,,116,senate,SSAP,SSAP16
C001088,Christopher A. Coons,,116,senate,SSAP,SSAP16
B001236,John Boozman,,116,senate,SSAP,SSAP16
C001047,Shelley Moore Capito,,116,senate,SSAP,SSAP16
M001183,Joe Manchin III,,116,senate,SSAP,SSAP16
K000393,John Kennedy,,116,senate,SSAP,SSAP16
V000128,Chris Van Hollen,,116,senate,SSAP,SSAP16
S000320,Richard C. Shelby,,116,senate,SSAP,SSAP16
A000360,Lamar Alexander,,116,senate,SSAP,SSAP22
F000062,Dianne Feinstein,,116,senate,SSAP,SSAP22
M000355,Mitch McConnell,,116,senate,SSAP,SSAP22
M001111,Patty Murray,,116,senate,SSAP,SSAP22
S000320,Richard C. Shelby,,116,senate,SSAP,SSAP22
C001035,Susan Collins,,116,senate,SSAP,SSAP22
U000039,Tom Udall,,116,senate,SSAP,SSAP22
G000359,Lindsey Graham,,116,senate,SSAP,SSAP22
S001181,Jeanne Shaheen,,116,senate,SSAP,SSAP22
H001061,John Hoeven,,116,senate,SSAP,SSAP22
K000393,John Kennedy,,116,senate,SSAP,SSAP22
C001088,Christopher A. Coons,,116,senate,SSAP,SSAP22
G000359,Lindsey Graham,,116,senate,SSAP,SSAP20
M000355,Mitch McConnell,,116,senate,SSAP,SSAP20
B000575,Roy Blunt,,116,senate,SSAP,SSAP20
S001181,Jeanne Shaheen,,116,senate,SSAP,SSAP20
B001236,John Boozman,,116,senate,SSAP,SSAP20
C001088,Christopher A. Coons,,116,senate,SSAP,SSAP20
M000934,Jerry Moran,,116,senate,SSAP,SSAP20
V000128,Chris Van Hollen,,116,senate,SSAP,SSAP20
D000618,Steve Daines,,116,senate,SSAP,SSAP20
S000320,Richard C. Shelby,,116,senate,SSAP,SSAP20
C001047,Shelley Moore Capito,,116,senate,SSAP,SSAP14
S000320,Richard C. Shelby,,116,senate,SSAP,SSAP14
S001181,Jeanne Shaheen,,116,senate,SSAP,SSAP14
H001061,John Hoeven,,116,senate,SSAP,SSAP14
M001111,Patty Murray,,116,senate,SSAP,SSAP14
K000393,John Kennedy,,116,senate,SSAP,SSAP14
M001183,Joe Manchin III,,116,senate,SSAP,SSAP14
U000039,Tom Udall,,116,senate,SSAP,SSAP17
A000360,Lamar Alexander,,116,senate,SSAP,SSAP17
F000062,Dianne Feinstein,,116,senate,SSAP,SSAP17
B000575,Roy Blunt,,116,senate,SSAP,SSAP17
M000355,Mitch McConnell,,116,senate,SSAP,SSAP17
R000122,Jack Reed,,116,senate,SSAP,SSAP17
C001047,Shelley Moore Capito,,116,senate,SSAP,SSAP17
D000618,Steve Daines,,116,senate,SSAP,SSAP17
V000128,Chris Van Hollen,,116,senate,SSAP,SSAP17
S000320,Richard C. Shelby,,116,senate,SSAP,SSAP17
C001035,Susan Collins,,116,senate,SSAP,SSAP24
R000122,Jack Reed,,116,senate,SSAP,SSAP24
S000320,Richard C. Shelby,,116,senate,SSAP,SSAP24
M001111,Patty Murray,,116,senate,SSAP,SSAP24
A000360,Lamar Alexander,,116,senate,SSAP,SSAP24
B000575,Roy Blunt,,116,senate,SSAP,SSAP24
F000062,Dianne Feinstein,,116,senate,SSAP,SSAP24
B001236,John Boozman,,116,senate,SSAP,SSAP24
C001088,Christopher A. Coons,,116,senate,SSAP,SSAP24
C001047,Shelley Moore Capito,,116,senate,SSAP,SSAP24
G000359,Lindsey Graham,,116,senate,SSAP,SSAP24
H001061,John Hoeven,,116,senate,SSAP,SSAP24
M001183,Joe Manchin III,,116,senate,SSAP,SSAP24
D000618,Steve Daines,,116,senate,SSAP,SSAP24
S000320,Richard C. Shelby,,116,senate,SSAP,SSAP08
V000128,Chris Van Hollen,,116,senate,SSAP,SSAP08
H001061,John Hoeven,,116,senate,SSAP,SSAP01
M000355,Mitch McConnell,,116,senate,SSAP,SSAP01
F000062,Dianne Feinstein,,116,senate,SSAP,SSAP01
C001035,Susan Collins,,116,senate,SSAP,SSAP01
B000575,Roy Blunt,,116,senate,SSAP,SSAP01
U000039,Tom Udall,,116,senate,SSAP,SSAP01
M000934,Jerry Moran,,116,senate,SSAP,SSAP01
K000393,John Kennedy,,116,senate,SSAP,SSAP01
S000320,Richard C. Shelby,,116,senate,SSAP,SSAP01
S000320,Richard C. Shelby,,116,senate,SSAP,SSAP02
M000355,Mitch McConnell,,116,senate,SSAP,SSAP02
A000360,Lamar Alexander,,116,senate,SSAP,SSAP02
F000062,Dianne Feinstein,,116,senate,SSAP,SSAP02
C001035,Susan Collins,,116,senate,SSAP,SSAP02
M001111,Patty Murray,,116,senate,SSAP,SSAP02
R000122,Jack Reed,,116,senate,SSAP,SSAP02
G000359,Lindsey Graham,,116,senate,SSAP,SSAP02
B000575,Roy Blunt,,116,senate,SSAP,SSAP02
U000039,Tom Udall,,116,senate,SSAP,SSAP02
M000934,Jerry Moran,,116,senate,SSAP,SSAP02
H001061,John Hoeven,,116,senate,SSAP,SSAP02
B001236,John Boozman,,116,senate,SSAP,SSAP02
B001236,John Boozman,,116,senate,SSAP,SSAP19
M000355,Mitch McConnell,,116,senate,SSAP,SSAP19
M001111,Patty Murray,,116,senate,SSAP,SSAP19
H001061,John Hoeven,,116,senate,SSAP,SSAP19
R000122,Jack Reed,,116,senate,SSAP,SSAP19
C001035,Susan Collins,,116,senate,SSAP,SSAP19
U000039,Tom Udall,,116,senate,SSAP,SSAP19
C001047,Shelley Moore Capito,,116,senate,SSAP,SSAP19
D000618,Steve Daines,,116,senate,SSAP,SSAP19
S000320,Richard C. Shelby,,116,senate,SSAP,SSAP19
K000393,John Kennedy,,116,senate,SSAP,SSAP23
C001088,Christopher A. Coons,,116,senate,SSAP,SSAP23
M000934,Jerry Moran,,116,senate,SSAP,SSAP23
B001236,John Boozman,,116,senate,SSAP,SSAP23
M001183,Joe Manchin III,,116,senate,SSAP,SSAP23
D000618,Steve Daines,,116,senate,SSAP,SSAP23
V000128,Chris Van Hollen,,116,senate,SSAP,SSAP23
S000320,Richard C. Shelby,,116,senate,SSAP,SSAP23
F000463,Deb Fischer,,116,senate,SSAS,SSAS16
K000383,Angus King,,116,senate,SSAS,SSAS16
R000605,Mike Rounds,,116,senate,SSAS,SSAS16
W000817,Elizabeth Warren,,116,senate,SSAS,SSAS16
S001198,Dan Sullivan,,116,senate,SSAS,SSAS16
M001183,Joe Manchin III,,116,senate,SSAS,SSAS16
R000122,Jack Reed,,116,senate,SSAS,SSAS16
I000024,James M. Inhofe,,116,senate,SSAS,SSAS16
P000595,Gary Peters,,116,senate,SSAS,SSAS20
F000463,Deb Fischer,,116,senate,SSAS,SSAS20
S001181,Jeanne Shaheen,,116,senate,SSAS,SSAS20
R000122,Jack Reed,,116,senate,SSAS,SSAS20
I000024,James M. Inhofe,,116,senate,SSAS,SSAS20
T000476,Thom Tillis,,116,senate,SSAS,SSAS17
R000605,Mike Rounds,,116,senate,SSAS,SSAS17
W000817,Elizabeth Warren,,116,senate,SSAS,SSAS17
D000622,Tammy Duckworth,,116,senate,SSAS,SSAS17
S001217,Rick Scott,,116,senate,SSAS,SSAS17
R000122,Jack Reed,,116,senate,SSAS,SSAS17
I000024,James M. Inhofe,,116,senate,SSAS,SSAS17
P000612,David Perdue,,116,senate,SSAS,SSAS13
W000437,Roger Wicker,,116,senate,SSAS,SSAS13
S001181,Jeanne Shaheen,,116,senate,SSAS,SSAS13
B001277,Richard Blumenthal,,116,senate,SSAS,SSAS13
K000384,Tim Kaine,,116,senate,SSAS,SSAS13
T000476,Thom Tillis,,116,senate,SSAS,SSAS13
K000383,Angus King,,116,senate,SSAS,SSAS13
R000122,Jack Reed,,116,senate,SSAS,SSAS13
I000024,James M. Inhofe,,116,senate,SSAS,SSAS13
K000383,Angus King,,116,senate,SSAS,SSAS14
W000437,Roger Wicker,,116,senate,SSAS,SSAS14
B001277,Richard Blumenthal,,116,senate,SSAS,SSAS14
T000476,Thom Tillis,,116,senate,SSAS,SSAS14
W000817,Elizabeth Warren,,116,senate,SSAS,SSAS14
S001198,Dan Sullivan,,116,senate,SSAS,SSAS14
P000595,Gary Peters,,116,senate,SSAS,SSAS14
I000024,James M. Inhofe,,116,senate,SSAS,SSAS14
D000622,Tammy Duckworth,,116,senate,SSAS,SSAS14
R000122,Jack Reed,,116,senate,SSAS,SSAS14
S001217,Rick Scott,,116,senate,SSAS,SSAS14
S001198,Dan Sullivan,,116,senate,SSAS,SSAS15
K000384,Tim Kaine,,116,senate,SSAS,SSAS15
F000463,Deb Fischer,,116,senate,SSAS,SSAS15
S001181,Jeanne Shaheen,,116,senate,SSAS,SSAS15
P000612,David Perdue,,116,senate,SSAS,SSAS15
D000622,Tammy Duckworth,,116,senate,SSAS,SSAS15
R000122,Jack Reed,,116,senate,SSAS,SSAS15
I000024,James M. Inhofe,,116,senate,SSAS,SSAS15
R000605,Mike Rounds,,116,senate,SSAS,SSAS21
M001183,Joe Manchin III,,116,senate,SSAS,SSAS21
