name,code,begin_date,end_date,parent_committee_id,member_id
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2025-01-03,SSAP,B001230
Employment and Workplace Safety,SSHR11,,2025-01-03,SSHR,B001230
Primary Health and Retirement Security,SSHR12,,2025-01-03,SSHR,B001230
"Communications, Media, and Broadband",SSCM34,,2025-01-03,SSCM,B001230
"Consumer Protection, Product Safety, and Data Security",SSCM35,,2025-01-03,SSCM,B001230
"Oceans, Fisheries, Climate Change, and Manufacturing",SSCM36,,2025-01-03,SSCM,B001230
"Surface Transportation, Maritime, Freight, and Ports",SSCM38,,2025-01-03,SSCM,B001230
"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",SSAP01,,2025-01-03,SSAP,B001230
Defense,SSAP02,,2025-01-03,SSAP,B001230
Energy and Water Development,SSAP22,,2025-01-03,SSAP,B001230
Homeland Security,SSAP14,,2025-01-03,SSAP,B001230
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2025-01-03,SSAP,B001230
"Energy, Natural Resources, and Infrastructure",SSFI12,,2025-01-03,SSFI,B001261
Health Care,SSFI10,,2025-01-03,SSFI,B001261
"International Trade, Customs, and Global Competitiveness",SSFI13,,2025-01-03,SSFI,B001261
Africa and Global Health Policy,SSFR09,,2025-01-03,SSFR,B001261
Energy,SSEG01,,2025-01-03,SSEG,B001261
National Parks,SSEG04,,2025-01-03,SSEG,B001261
Europe and Regional Security Cooperation,SSFR01,,2025-01-03,SSFR,B001261
"Public Lands, Forests, and Mining",SSEG03,,2025-01-03,SSEG,B001261
"Multilateral International Development, Multilateral Institutions, and International Economic, Energy, and Environmental Policy",SSFR15,,2025-01-03,SSFR,B001261
Water and Power,SSEG07,,2025-01-03,SSEG,B001261
"Conservation, Climate, Forestry, and Natural Resources",SSAF14,,2025-01-03,SSAF,B001267
"Energy, Natural Resources, and Infrastructure",SSFI12,,2025-01-03,SSFI,B001267
Rural Development and Energy,SSAF15,,2025-01-03,SSAF,B001267
"International Trade, Customs, and Global Competitiveness",SSFI13,,2025-01-03,SSFI,B001267
Taxation and IRS Oversight,SSFI11,,2025-01-03,SSFI,B001267
"Communications, Media, and Broadband",SSCM34,,2025-01-03,SSCM,B001243
"Consumer Protection, Product Safety, and Data Security",SSCM35,,2025-01-03,SSCM,B001243
Health Care,SSFI10,,2025-01-03,SSFI,B001243
"Oceans, Fisheries, Climate Change, and Manufacturing",SSCM36,,2025-01-03,SSCM,B001243
"Social Security, Pensions, and Family Policy",SSFI02,,2025-01-03,SSFI,B001243
"Tourism, Trade, and Export Promotion",SSCM39,,2025-01-03,SSCM,B001243
Taxation and IRS Oversight,SSFI11,,2025-01-03,SSFI,B001243
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2025-01-03,SSJU,B001243
Human Rights and the Law,SSJU27,,2025-01-03,SSJU,B001243
"Immigration, Citizenship, and Border Safety",SSJU04,,2025-01-03,SSJU,B001243
Intellectual Property,SSJU26,,2025-01-03,SSJU,B001243
"Privacy, Technology, and the Law",SSJU28,,2025-01-03,SSJU,B001243
Permanent Subcommittee on Investigations,SSGA01,,2025-01-03,SSGA,B001277
Airland,SSAS14,,2025-01-03,SSAS,B001277
Government Operations and Border Management,SSGA22,,2025-01-03,SSGA,B001277
Personnel,SSAS17,,2025-01-03,SSAS,B001277
Readiness and Management Support,SSAS15,,2025-01-03,SSAS,B001277
Seapower,SSAS13,,2025-01-03,SSAS,B001277
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2025-01-03,SSJU,B001277
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2025-01-03,SSJU,B001277
Human Rights and the Law,SSJU27,,2025-01-03,SSJU,B001277
"Privacy, Technology, and the Law",SSJU28,,2025-01-03,SSJU,B001277
the Constitution,SSJU21,,2025-01-03,SSJU,B001277
"Commodities, Risk Management, and Trade",SSAF13,,2025-01-03,SSAF,B001288
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2025-01-03,SSAF,B001288
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2025-01-03,SSAF,B001288
Africa and Global Health Policy,SSFR09,,2025-01-03,SSFR,B001288
"Competition Policy, Antitrust, and Consumer Rights",SSJU01,,2025-01-03,SSJU,B001288
Criminal Justice and Counterterrorism,SSJU22,,2025-01-03,SSJU,B001288
"Near East, South Asia, Central Asia, and Counterterrorism",SSFR07,,2025-01-03,SSFR,B001288
"Federal Courts, Oversight, Agency Action, and Federal Rights",SSJU25,,2025-01-03,SSJU,B001288
"State Department and USAID Management, International Operations, and Bilateral International Development",SSFR14,,2025-01-03,SSFR,B001288
"Immigration, Citizenship, and Border Safety",SSJU04,,2025-01-03,SSJU,B001288
the Constitution,SSJU21,,2025-01-03,SSJU,B001288
"Fisheries, Water, and Wildlife",SSEV15,,2025-01-03,SSEV,B001236
"Military Construction, Veterans Affairs, and Related Agencies",SSAP19,,2025-01-03,SSAP,B001236
Transportation and Infrastructure,SSEV08,,2025-01-03,SSEV,B001236
"State, Foreign Operations, and Related Programs",SSAP20,,2025-01-03,SSAP,B001236
"Transportation, Housing and Urban Development, and Related Agencies",SSAP24,,2025-01-03,SSAP,B001236
"Commodities, Risk Management, and Trade",SSAF13,,2025-01-03,SSAF,B001236
"Conservation, Climate, Forestry, and Natural Resources",SSAF14,,2025-01-03,SSAF,B001236
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2025-01-03,SSAF,B001236
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2025-01-03,SSAF,B001236
Rural Development and Energy,SSAF15,,2025-01-03,SSAF,B001236
Defense,SSAP02,,2025-01-03,SSAP,B001236
Financial Services and General Government,SSAP23,,2025-01-03,SSAP,B001236
"Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",SSEV09,,2025-01-03,SSEV,B001236
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2025-01-03,SSAP,B001236
Employment and Workplace Safety,SSHR11,,2025-01-03,SSHR,B001310
Primary Health and Retirement Security,SSHR12,,2025-01-03,SSHR,B001310
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2025-01-03,SSAF,B001310
Rural Development and Energy,SSAF15,,2025-01-03,SSAF,B001310
"Commerce, Justice, Science, and Related Agencies",SSAP16,,2025-01-03,SSAP,B001319
Energy and Water Development,SSAP22,,2025-01-03,SSAP,B001319
Financial Institutions and Consumer Protection,SSBK08,,2025-01-03,SSBK,B001319
Homeland Security,SSAP14,,2025-01-03,SSAP,B001319
"Housing, Transportation, and Community Development",SSBK09,,2025-01-03,SSBK,B001319
"Interior, Environment, and Related Agencies",SSAP17,,2025-01-03,SSAP,B001319
National Security and International Trade and Finance,SSBK05,,2025-01-03,SSBK,B001319
"Labor, Health and Human Services, and Education, and Related Agencies",SSAP18,,2025-01-03,SSAP,B001319
"Food and Nutrition, Specialty Crops, Organics, and Research",SSAF16,,2025-01-03,SSAF,B000944
"Livestock, Dairy, Poultry, Local Food Systems, and Food Safety and Security",SSAF17,,2025-01-03,SSAF,B000944
"International Trade, Customs, and Global Competitiveness",SSFI13,,2025-01-03,SSFI,B000944
