Congress,Committee code,ID #,Name,Maj/Min,Rank Within Party Status,Party,Date of Assignment,Date of Termination,Senior Party Member,Committee Seniority,Committee Period of Service,Committee status at end of this Congress,Committee continuity of assignment in next Congress,Appointment Citation,Committee Name,State,CD,State Name,Notes,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,parsed_name,first_name,last_name
116,102,29127.0,"Peterson, Collin C.",1.0,1.0,100,2019-01-04 00:00:00,2021-01-03,11.0,15.0,2.0,1.0,0.0,HRES24,Agriculture,33,7.0,MN,,,,,,Collin C. Peterson,Collin,Peterson
116,102,20321.0,"Scott, David",1.0,2.0,100,2019-01-17 00:00:00,2021-01-03,0.0,9.0,2.0,1.0,1.0,HRES57,Agriculture,44,13.0,GA,,,,,,David Scott,David,Scott
116,102,20501.0,"Costa, Jim",1.0,3.0,100,2019-01-17 00:00:00,2021-01-03,0.0,8.0,2.0,1.0,1.0,HRES57,Agriculture,71,16.0,CA,,,,,,Jim Costa,Jim,Costa
116,102,20941.0,"Fudge, Marcia",1.0,4.0,100,2019-01-17 00:00:00,2021-01-03,0.0,5.0,2.0,1.0,3.0,HRES57,Agriculture,24,11.0,OH,"On December 10, 2020, President Biden announced his plan to nominate Fudge for Secretary of Housing and Urban Development",,,,,Marcia Fudge,Marcia,Fudge
116,102,29729.0,"McGovern, Jim",1.0,5.0,100,2019-01-17 00:00:00,2021-01-03,0.0,5.0,2.0,1.0,1.0,HRES57,Agriculture,3,2.0,MA,,,,,,Jim McGovern,Jim,McGovern
116,102,21366.0,"Vela, Filemon",1.0,6.0,100,2019-01-17 00:00:00,2021-01-03,0.0,4.0,2.0,1.0,1.0,HRES57,Agriculture,49,34.0,TX,,,,,,Filemon Vela,Filemon,Vela
116,102,70502.0,"Plaskett, Stacey",1.0,7.0,100,2019-01-17 00:00:00,2021-01-03,0.0,3.0,2.0,1.0,1.0,HRES57,Agriculture,93,1.0,VI,,,,,,Stacey Plaskett,Stacey,Plaskett
116,102,21545.0,"Adams, Alma",1.0,8.0,100,2019-01-17 00:00:00,2021-01-03,0.0,3.0,2.0,1.0,1.0,HRES57,Agriculture,44,12.0,NC,,,,,,Alma Adams,Alma,Adams
116,102,21966.0,"Spanberger, Abigail",1.0,9.0,100,2019-01-17 00:00:00,2021-01-03,0.0,1.0,2.0,1.0,1.0,HRES57,Agriculture,40,7.0,VA,,,,,,Abigail Spanberger,Abigail,Spanberger
116,102,21931.0,"Hayes, Jahana",1.0,10.0,100,2019-01-17 00:00:00,2021-01-03,0.0,1.0,2.0,1.0,1.0,HRES57,Agriculture,1,5.0,CT,,,,,,Jahana Hayes,Jahana,Hayes
116,102,21916.0,"Delgado, Antonio",1.0,11.0,100,2019-01-17 00:00:00,2021-01-03,0.0,1.0,2.0,1.0,1.0,HRES57,Agriculture,13,19.0,NY,,,,,,Antonio Delgado,Antonio,Delgado
116,102,21909.0,"Cox, TJ",1.0,12.0,100,2019-01-17 00:00:00,2021-01-03,0.0,1.0,2.0,1.0,0.0,HRES57,Agriculture,71,21.0,CA,,,,,,TJ Cox,TJ,Cox
