,full_name,state,"AGRICULTURE, NUTRITION, AND FORESTRY",BUDGET,ENVIRONMENT AND PUBLIC WORKS,FINANCE,"CLEAN AIR, CLIMATE, AND NUCLEAR SAFETY","FISHERIES, WATER, AND WILDLIFE",HEALTH CARE,"INTERNATIONAL TRADE, CUSTOMS, AND GLOBAL COMPETITIVENESS",TAXATION AND IRS OVERSIGHT,TRANSPORTATION AND INFRASTRUCTURE,APPROPRIATIONS,JUDICIARY,RULES AND ADMINISTRATION,"AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES","COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES","COMPETITION POLICY, ANTITRUST, AND CONSUMER RIGHTS","CONSERVATION, CLIMATE, FORESTRY, AND NATURAL RESOURCES",CRIMINAL JUSTICE AND COUNTERTERRORISM,DEFENSE,"FEDERAL COURTS, OVERSIGHT, AGENCY ACTION, AND FEDERAL RIGHTS","FOOD AND NUTRITION, SPECIALTY CROPS, ORGANICS, AND RESEARCH",HOMELAND SECURITY,INTELLECTUAL PROPERTY,"INTERIOR, ENVIRONMENT, AND RELATED AGENCIES","LIVESTOCK, DAIRY, POULTRY, LOCAL FOOD SYSTEMS, AND FOOD SAFETY AND SECURITY","STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS","BANKING, HOUSING, AND URBAN AFFAIRS",VETERANS’ AFFAIRS,"COMMODITIES, RISK MANAGEMENT, AND TRADE",RURAL DEVELOPMENT AND ENERGY,"SOCIAL SECURITY, PENSIONS, AND FAMILY POLICY","COMMERCE, SCIENCE, AND TRANSPORTATION","COMMUNICATIONS, MEDIA, AND BROADBAND","CONSUMER PROTECTION, PRODUCT SAFETY, AND DATA SECURITY","IMMIGRATION, CITIZENSHIP, AND BORDER SAFETY","PRIVACY, TECHNOLOGY, AND THE LAW","SURFACE TRANSPORTATION, MARITIME, FREIGHT, AND PORTS","TOURISM, TRADE, AND EXPORT PROMOTION","ENERGY, NATURAL RESOURCES, AND INFRASTRUCTURE",ARMED SERVICES,CYBERSECURITY,EMERGING THREATS AND CAPABILITIES,PERSONNEL,"HEALTH, EDUCATION, LABOR, AND PENSIONS",CHILDREN AND FAMILIES,ECONOMIC POLICY,EMPLOYMENT AND WORKPLACE SAFETY,"HOUSING, TRANSPORTATION, AND COMMUNITY DEVELOPMENT","SECURITIES, INSURANCE, AND INVESTMENT",ENERGY AND WATER DEVELOPMENT,FINANCIAL SERVICES AND GENERAL GOVERNMENT,"LABOR, HEALTH AND HUMAN SERVICES, EDUCATION, AND RELATED AGENCIES","TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES",FOREIGN RELATIONS,SMALL BUSINESS AND ENTREPRENEURSHIP,AFRICA AND GLOBAL HEALTH POLICY,"MULTILATERAL INTERNATIONAL DEVELOPMENT, MULTILATERAL INSTITUTIONS, AND INTERNATIONAL ECONOMIC, ENERGY, AND ENVIRONMENTAL POLICY","NEAR EAST, SOUTH ASIA, CENTRAL ASIA, AND COUNTERTERRORISM","OCEANS, FISHERIES, CLIMATE CHANGE, AND MANUFACTURING",PRIMARY HEALTH AND RETIREMENT SECURITY,SPACE AND SCIENCE,"AVIATION SAFETY, OPERATIONS, AND INNOVATION",FINANCIAL INSTITUTIONS AND CONSUMER PROTECTION,"MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES",ENERGY AND NATURAL RESOURCES,ENERGY,NATIONAL PARKS,WATER AND POWER,"CHEMICAL SAFETY, WASTE MANAGEMENT, ENVIRONMENTAL JUSTICE, AND REGULATORY OVERSIGHT",READINESS AND MANAGEMENT SUPPORT,"PUBLIC LANDS, FORESTS, AND MINING",STRATEGIC FORCES,LEGISLATIVE BRANCH,HUMAN RIGHTS AND THE LAW,THE CONSTITUTION,NATIONAL SECURITY AND INTERNATIONAL TRADE AND FINANCE,EUROPE AND REGIONAL SECURITY COOPERATION,SEAPOWER,"WESTERN HEMISPHERE, TRANSNATIONAL CRIME, CIVILIAN SECURITY, DEMOCRACY, HUMAN RIGHTS, AND GLOBAL WOMEN’S ISSUES","EAST ASIA, THE PACIFIC, AND INTERNATIONAL CYBERSECURITY POLICY","STATE DEPARTMENT AND USAID MANAGEMENT, INTERNATIONAL OPERATIONS, AND BILATERAL INTERNATIONAL DEVELOPMENT",AIRLAND,FISCAL RESPONSIBILITY AND ECONOMIC GROWTH,HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS,EMERGING THREATS AND SPENDING OVERSIGHT,PERMANENT SUBCOMMITTEE ON INVESTIGATIONS,GOVERNMENT OPERATIONS AND BORDER MANAGEMENT,
0,Debbie Stabenow,Michigan,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Patrick J. Leahy,Vermont,13.0,,,,,,,,,,13.0,13.0,13.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sherrod Brown,Ohio,6.0,,,6.0,,,,4.0,4.0,,,,,,,,4.0,,,,,,,,,,6.0,6.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Amy Klobuchar,Minnesota,11.0,,,,,,,,,,,11.0,11.0,,,4.0,4.0,4.0,,,4.0,,,,,,,,,4.0,,11.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Michael F. Bennet,Colorado,6.0,,,6.0,,,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Kirsten E. Gillibrand,New York,6.0,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,2.0,,,,,,,,,,,6.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tina Smith,Minnesota,8.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,8.0,,3.0,3.0,,,,,,,,,,,,,,8.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Richard J. Durbin,Illinois,9.0,,,,,,,,,,9.0,9.0,,,,,,,3.0,,,,,,3.0,3.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Cory A. Booker,New Jersey,10.0,,,,,,,,,,,10.0,,,,4.0,4.0,4.0,,4.0,4.0,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,10.0,10.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ben Ray Lujan,New Mexico,9.0,9.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,4.0,,9.0,4.0,4.0,,,,,,,,,,9.0,,,4.0,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Raphael G. Warnock,Georgia,10.0,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,10.0,,3.0,,,10.0,3.0,,,,3.0,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
11,John Boozman,Arkansas,9.0,,9.0,,4.0,4.0,,,,4.0,9.0,,,,4.0,,,,4.0,,,,,,,4.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
12,Mitch McConnell,Kentucky,9.0,,,,,,,,,,9.0,,9.0,3.0,,,,,3.0,,3.0,,,3.0,,3.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
13,John Hoeven,North Dakota,12.0,,,,,,,,,,12.0,,,3.0,,,3.0,,3.0,,3.0,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,3.0,12.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
14,Joni Ernst,Iowa,9.0,,9.0,,4.0,4.0,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,4.0,,,,,,,,,,9.0,4.0,4.0,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,
15,Cindy Hyde-Smith,Mississippi,12.0,,,,,,,,,,12.0,,12.0,4.0,,,4.0,,,,,4.0,,4.0,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,12.0,4.0,,4.0,,,4.0,,,,,,,,,,,,,,,,,
