,full_name,state,"AGRICULTURE, NUTRITION, AND FORESTRY",BUDGET,ENVIRONMENT AND PUBLIC WORKS,FINANCE,"CLEAN AIR, CLIMATE, AND NUCLEAR SAFETY","ENERGY, NATURAL RESOURCES, AND INFRASTRUCTURE","FISHERIES, WATER, AND WILDLIFE",HEALTH CARE,"INTERNATIONAL TRADE, CUSTOMS, AND GLOBAL COMPETITIVENESS",TRANSPORTATION AND INFRASTRUCTURE,"BANKING, HOUSING, AND URBAN AFFAIRS",VETERANS’ AFFAIRS,"FOOD AND NUTRITION, SPECIALTY CROPS, ORGANICS, AND RESEARCH","LIVESTOCK, DAIRY, POULTRY, LOCAL FOOD SYSTEMS, AND FOOD SAFETY AND SECURITY","SOCIAL SECURITY, PENSIONS, AND FAMILY POLICY","COMMERCE, SCIENCE, AND TRANSPORTATION",JUDICIARY,RULES AND ADMINISTRATION,"COMMUNICATIONS, MEDIA, AND BROADBAND","COMPETITION POLICY, ANTITRUST, AND CONSUMER RIGHTS","CONSERVATION, CLIMATE, FORESTRY, AND NATURAL RESOURCES","CONSUMER PROTECTION, PRODUCT SAFETY, AND DATA SECURITY",CRIMINAL JUSTICE AND COUNTERTERRORISM,"IMMIGRATION, CITIZENSHIP, AND BORDER SAFETY","PRIVACY, TECHNOLOGY, AND THE LAW",RURAL DEVELOPMENT AND ENERGY,"SURFACE TRANSPORTATION, MARITIME, FREIGHT, AND PORTS","TOURISM, TRADE, AND EXPORT PROMOTION",TAXATION AND IRS OVERSIGHT,ARMED SERVICES,"COMMODITIES, RISK MANAGEMENT, AND TRADE",CYBERSECURITY,EMERGING THREATS AND CAPABILITIES,STRATEGIC FORCES,"HEALTH, EDUCATION, LABOR, AND PENSIONS",CHILDREN AND FAMILIES,ECONOMIC POLICY,FINANCIAL INSTITUTIONS AND CONSUMER PROTECTION,"HOUSING, TRANSPORTATION, AND COMMUNITY DEVELOPMENT",PRIMARY HEALTH AND RETIREMENT SECURITY,APPROPRIATIONS,DEFENSE,ENERGY AND WATER DEVELOPMENT,FINANCIAL SERVICES AND GENERAL GOVERNMENT,"LABOR, HEALTH AND HUMAN SERVICES, EDUCATION, AND RELATED AGENCIES","STATE, FOREIGN OPERATIONS, AND RELATED PROGRAMS","TRANSPORTATION, HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES",FOREIGN RELATIONS,SMALL BUSINESS AND ENTREPRENEURSHIP,AFRICA AND GLOBAL HEALTH POLICY,"FEDERAL COURTS, OVERSIGHT, AGENCY ACTION, AND FEDERAL RIGHTS","NEAR EAST, SOUTH ASIA, CENTRAL ASIA, AND COUNTERTERRORISM","STATE DEPARTMENT AND USAID MANAGEMENT, INTERNATIONAL OPERATIONS, AND BILATERAL INTERNATIONAL DEVELOPMENT",THE CONSTITUTION,EMPLOYMENT AND WORKPLACE SAFETY,"OCEANS, FISHERIES, CLIMATE CHANGE, AND MANUFACTURING",SPACE AND SCIENCE,"AVIATION SAFETY, OPERATIONS, AND INNOVATION","SECURITIES, INSURANCE, AND INVESTMENT",HUMAN RIGHTS AND THE LAW,INTELLECTUAL PROPERTY,"CHEMICAL SAFETY, WASTE MANAGEMENT, ENVIRONMENTAL JUSTICE, AND REGULATORY OVERSIGHT","MILITARY CONSTRUCTION, VETERANS AFFAIRS, AND RELATED AGENCIES","AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, AND RELATED AGENCIES","INTERIOR, ENVIRONMENT, AND RELATED AGENCIES",ENERGY AND NATURAL RESOURCES,ENERGY,WATER AND POWER,AIRLAND,HOMELAND SECURITY,NATIONAL PARKS,HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS,PERMANENT SUBCOMMITTEE ON INVESTIGATIONS,READINESS AND MANAGEMENT SUPPORT,SEAPOWER,FISCAL RESPONSIBILITY AND ECONOMIC GROWTH,"COMMERCE, JUSTICE, SCIENCE, AND RELATED AGENCIES",LEGISLATIVE BRANCH,NATIONAL SECURITY AND INTERNATIONAL TRADE AND FINANCE,EUROPE AND REGIONAL SECURITY COOPERATION,"MULTILATERAL INTERNATIONAL DEVELOPMENT, MULTILATERAL INSTITUTIONS, AND INTERNATIONAL ECONOMIC, ENERGY, AND ENVIRONMENTAL POLICY","WESTERN HEMISPHERE, TRANSNATIONAL CRIME, CIVILIAN SECURITY, DEMOCRACY, HUMAN RIGHTS, AND GLOBAL WOMEN’S ISSUES","EAST ASIA, THE PACIFIC, AND INTERNATIONAL CYBERSECURITY POLICY","PUBLIC LANDS, FORESTS, AND MINING",GOVERNMENT OPERATIONS AND BORDER MANAGEMENT,PERSONNEL,EMERGING THREATS AND SPENDING OVERSIGHT,
0,Debbie Stabenow,Michigan,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sherrod Brown,Ohio,4.0,,,4.0,,,,,4.0,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Amy Klobuchar,Minnesota,11.0,,,,,,,,,,,,4.0,,,11.0,11.0,11.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Michael F. Bennet,Colorado,5.0,,,5.0,,3.0,,,3.0,,,,,,,,,5.0,,,3.0,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Kirsten E. Gillibrand,New York,6.0,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,6.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tina Smith,Minnesota,8.0,,,,,,,,,,8.0,,,,,,,,,,3.0,,,,,3.0,,,,,3.0,,,,8.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Richard J. Durbin,Illinois,9.0,,,,,,,,,,,,,3.0,,,9.0,,,,,,,,,3.0,,,,,3.0,,,,,,,,,,9.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cory A. Booker,New Jersey,11.0,,,,,,,,,,,,4.0,4.0,,,11.0,,,4.0,,,4.0,4.0,,,,,,,4.0,,,,,,,,,,,,,,,,,11.0,11.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ben Ray Lujan,New Mexico,9.0,9.0,,,,,,,,,,,,4.0,,9.0,,,4.0,,4.0,4.0,,,,4.0,,,,,,,,,9.0,,,,,4.0,,,,,,,,,,,,,,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Raphael G. Warnock,Georgia,10.0,,,,,,,,,,10.0,,3.0,,,10.0,,,3.0,,3.0,,,,,,3.0,,,,3.0,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,3.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Peter Welch,Vermont,12.0,,,,,,,,,,,,,4.0,,12.0,12.0,12.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,4.0,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,John Fetterman,Pennsylvania,7.0,,7.0,,,,,,,3.0,7.0,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,John Boozman,Arkansas,9.0,,9.0,,,,4.0,,,4.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Mitch McConnell,Kentucky,9.0,,,,,,,,,,,,3.0,,,,,9.0,,,3.0,,,,,,,,,,3.0,,,,,,,,,,9.0,3.0,3.0,,,3.0,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
14,John Hoeven,North Dakota,10.0,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,10.0,3.0,3.0,,,,3.0,,,,,,,,,,,,,,,,3.0,3.0,3.0,10.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,
15,Joni Ernst,Iowa,6.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,3.0,,,,6.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
16,Cindy Hyde-Smith,Mississippi,10.0,,,,,,,,,,,,,4.0,,,,10.0,,,4.0,,,,,,,,,,4.0,,,,,,,,,,10.0,,4.0,,4.0,,4.0,,,,,,,,,,,,,,,,,4.0,,10.0,4.0,,,4.0,4.0,,,,,,,,,,,,,,,,,
17,Roger Marshall,Kansas,6.0,6.0,,,,,,,,,,,4.0,4.0,,,,,,,4.0,,,,,,,,,,,,,,6.0,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,6.0,4.0,,,,,,,,,,,,,,,
18,Tommy Tuberville,Alabama,8.0,,,,,,,,,,,8.0,4.0,,,,,,,,,,,,,4.0,,,,8.0,4.0,,,4.0,8.0,4.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,
19,Mike Braun,Indiana,4.0,4.0,,,,,,,,,,,3.0,,,,,,,,,,,,,3.0,,,,,,,,,4.0,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Chuck Grassley,Iowa,9.0,9.0,,9.0,,,,4.0,,,,,,,,,9.0,,,4.0,,,4.0,4.0,,4.0,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
21,John Thune,South Dakota,9.0,,,9.0,,,,3.0,3.0,,,,,3.0,,9.0,,,3.0,,3.0,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Deb Fischer,Nebraska,14.0,,,,,,,,,,,,,5.0,,14.0,,14.0,5.0,,,5.0,,,,5.0,5.0,,,14.0,,,,5.0,,,,,,,14.0,,,,,,,,,,,,,,,,5.0,,,,,,5.0,5.0,5.0,,,,5.0,,,,,5.0,,,5.0,5.0,,,,,,,,,,
