,index
0,House Committee on Appropriations
1,House Committee on Financial Services
2,House Committee on Foreign Affairs
3,House Committee on Ways and Means
4,House Committee on Armed Services
5,House Permanent Select Committee on Intelligence
6,House Committee on Homeland Security
7,House Committee on Natural Resources
8,House Committee on Oversight and Accountability
9,House Committee on Education and the Workforce
10,House Committee on Small Business
11,"House Committee on Science, Space, and Technology"
12,House Committee on the Judiciary
13,House Committee on Energy and Commerce
14,House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party
15,Joint Economic Committee
16,House Committee on Transportation and Infrastructure
17,House Committee on Agriculture
18,House Committee on the Budget
19,Senate Committee on the Judiciary
20,"Senate Committee on Commerce, Science, and Transportation"
21,"Senate Committee on Agriculture, Nutrition, and Forestry"
22,House Select Subcommittee on the Coronavirus Pandemic
23,House Committee on Rules
24,House Select Subcommittee on the Weaponization of the Federal Government
25,Joint Committee on Taxation
26,House Committee on Ethics
27,House Committee on House Administration
28,Senate Committee on Rules and Administration
29,House Committee on Veterans' Affairs
30,Joint Committee on the Library
31,Joint Committee on Printing
