Committee,Comittee_code,Subcommittee,Subcommittee_code
House Committee on Agriculture,HSAG,Forestry,HSAG15
House Committee on Agriculture,HSAG,"Commodity Markets, Digital Assets, and Rural Development",HSAG22
House Committee on Agriculture,HSAG,"General Farm Commodities, Risk Management, and Credit",HSAG16
House Committee on Agriculture,HSAG,"Livestock, Dairy, and Poultry",HSAG29
House Committee on Agriculture,HSAG,"Conservation, Research, and Biotechnology",HSAG14
House Committee on Agriculture,HSAG,"Nutrition, Foreign Agriculture, and Horticulture",HSAG03
House Committee on Appropriations,HSAP,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",HSAP01
House Committee on Appropriations,HSAP,"Commerce, Justice, Science, and Related Agencies",HSAP19
House Committee on Appropriations,HSAP,Defense,HSAP02
House Committee on Appropriations,HSAP,"Energy and Water Development, and Related Agencies",HSAP10
House Committee on Appropriations,HSAP,Financial Services and General Government,HSAP23
House Committee on Appropriations,HSAP,Homeland Security,HSAP15
House Committee on Appropriations,HSAP,"Interior, Environment, and Related Agencies",HSAP06
House Committee on Appropriations,HSAP,"Labor, Health and Human Services, Education, and Related Agencies",HSAP07
House Committee on Appropriations,HSAP,Legislative Branch,HSAP24
House Committee on Appropriations,HSAP,"Military Construction, Veterans Affairs, and Related Agencies",HSAP18
House Committee on Appropriations,HSAP,"State, Foreign Operations, and Related Programs",HSAP04
House Committee on Appropriations,HSAP,"Transportation, Housing and Urban Development, and Related Agencies",HSAP20
House Committee on Armed Services,HSAS,Tactical Air and Land Forces,HSAS25
House Committee on Armed Services,HSAS,Military Personnel,HSAS02
House Committee on Armed Services,HSAS,Readiness,HSAS03
House Committee on Armed Services,HSAS,Seapower and Projection Forces,HSAS28
House Committee on Armed Services,HSAS,Strategic Forces,HSAS29
House Committee on Armed Services,HSAS,Intelligence and Special Operations,HSAS26
House Committee on Armed Services,HSAS,"Cyber, Information Technologies, and Innovation",HSAS35
House Committee on Financial Services,HSBA,Capital Markets,HSBA16
House Committee on Financial Services,HSBA,Housing and Insurance,HSBA04
House Committee on Financial Services,HSBA,Oversight and Investigations,HSBA09
House Committee on Financial Services,HSBA,"National Security, Illicit Finance, and International Financial Institutions",HSBA01
House Committee on Financial Services,HSBA,Financial Institutions and Monetary Policy,HSBA20
House Committee on Financial Services,HSBA,"Digital Assets, Financial Technology and Inclusion",HSBA21
House Committee on Financial Services,HSBA,"National Security, Illicit Finance, and International Financial Institutions",HSBA10
House Committee on the Budget,HSBU,,
House Committee on Education and the Workforce,HSED,"Early Childhood, Elementary, and Secondary Education",HSED14
House Committee on Education and the Workforce,HSED,"Health, Employment, Labor, and Pensions",HSED02
House Committee on Education and the Workforce,HSED,Higher Education and Workforce Development,HSED13
House Committee on Education and the Workforce,HSED,Workforce Protections,HSED10
House Committee on Foreign Affairs,HSFA,Africa,HSFA16
House Committee on Foreign Affairs,HSFA,Indo-Pacific,HSFA05
House Committee on Foreign Affairs,HSFA,Europe,HSFA14
House Committee on Foreign Affairs,HSFA,"Middle East, North Africa, and Central Asia",HSFA13
House Committee on Foreign Affairs,HSFA,Western Hemisphere,HSFA07
House Committee on Foreign Affairs,HSFA,Oversight and Accountability,HSFA17
House Committee on Foreign Affairs,HSFA,"Global Health, Global Human Rights, and International Organizations",HSFA06
House Committee on Oversight and Accountability,HSGO,Government Operations and the Federal Workforce,HSGO24
House Committee on Oversight and Accountability,HSGO,"National Security, the Border, and Foreign Affairs",HSGO06
House Committee on Oversight and Accountability,HSGO,Health Care and Financial Services,HSGO27
House Committee on Oversight and Accountability,HSGO,"Economic Growth, Energy Policy, and Regulatory Affairs",HSGO05
House Committee on Oversight and Accountability,HSGO,"Cybersecurity, Information Technology, and Government Innovation",HSGO12
House Committee on House Administration,HSHA,Elections,HSHA08
House Committee on House Administration,HSHA,Oversight,HSHA06
House Committee on House Administration,HSHA,Modernization,HSHA27
House Committee on Homeland Security,HSHM,Border Security and Enforcement,HSHM11
House Committee on Homeland Security,HSHM,Emergency Management and Technology,HSHM12
House Committee on Homeland Security,HSHM,Cybersecurity and Infrastructure Protection,HSHM08
House Committee on Homeland Security,HSHM,"Counterterrorism, Law Enforcement, and Intelligence",HSHM05
House Committee on Homeland Security,HSHM,"Oversight, Investigations, and Accountability",HSHM09
House Committee on Homeland Security,HSHM,Transportation and Maritime Security,HSHM07
House Committee on Energy and Commerce,HSIF,"Innovation, Data, and Commerce",HSIF17
House Committee on Energy and Commerce,HSIF,Communications and Technology,HSIF16
House Committee on Energy and Commerce,HSIF,"Energy, Climate, and Grid Security",HSIF03
House Committee on Energy and Commerce,HSIF,Health,HSIF14
House Committee on Energy and Commerce,HSIF,Oversight and Investigations,HSIF02
House Committee on Energy and Commerce,HSIF,"Environment, Manufacturing, and Critical Materials",HSIF18
House Committee on Natural Resources,HSII,Energy and Mineral Resources,HSII06
House Committee on Natural Resources,HSII,Federal Lands,HSII10
House Committee on Natural Resources,HSII,"Water, Wildlife and Fisheries",HSII13
House Committee on Natural Resources,HSII,Indian and Insular Affairs,HSII24
House Committee on Natural Resources,HSII,Oversight and Investigations,HSII15
House Permanent Select Committee on Intelligence,HLIG,Oversight and Investigations,HLIG09
House Permanent Select Committee on Intelligence,HLIG,Central Intelligence Agency,HLIG01
House Permanent Select Committee on Intelligence,HLIG,National Security Agency and Cyber,HLIG02
House Permanent Select Committee on Intelligence,HLIG,Defense Intelligence and Overhead Architecture,HLIG04
House Permanent Select Committee on Intelligence,HLIG,National Intelligence Enterprise,HLIG06
House Committee on the Judiciary,HSJU,The Constitution and Limited Government,HSJU10
House Committee on the Judiciary,HSJU,"Courts, Intellectual Property, and the Internet",HSJU03
House Committee on the Judiciary,HSJU,Crime and Federal Government Surveillance,HSJU08
House Committee on the Judiciary,HSJU,"Immigration Integrity, Security, and Enforcement",HSJU01
House Committee on the Judiciary,HSJU,"The Administrative State, Regulatory Reform, and Antitrust",HSJU05
House Committee on the Judiciary,HSJU,Responsiveness and Accountability to Oversight,HSJU13
House Committee on Transportation and Infrastructure,HSPW,Aviation,HSPW05
House Committee on Transportation and Infrastructure,HSPW,Coast Guard and Maritime Transportation,HSPW07
House Committee on Transportation and Infrastructure,HSPW,"Economic Development, Public Buildings, and Emergency Management",HSPW13
House Committee on Transportation and Infrastructure,HSPW,Highways and Transit,HSPW12
House Committee on Transportation and Infrastructure,HSPW,"Railroads, Pipelines, and Hazardous Materials",HSPW14
House Committee on Transportation and Infrastructure,HSPW,Water Resources and Environment,HSPW02
House Committee on Rules,HSRU,Legislative and Budget Process,HSRU02
House Committee on Rules,HSRU,Rules and Organization of the House,HSRU04
House Committee on Small Business,HSSM,Contracting and Infrastructure,HSSM23
House Committee on Small Business,HSSM,"Oversight, Investigations, and Regulations",HSSM24
House Committee on Small Business,HSSM,"Economic Growth, Tax, and Capital Access",HSSM27
House Committee on Small Business,HSSM,"Rural Development, Energy, and Supply Chains",HSSM21
House Committee on Small Business,HSSM,"Innovation, Entrepreneurship, and Workforce Development",HSSM22
House Committee on Ethics,HSSO,,
"House Committee on Science, Space, and Technology",HSSY,Energy,HSSY20
"House Committee on Science, Space, and Technology",HSSY,Investigations and Oversight,HSSY21
"House Committee on Science, Space, and Technology",HSSY,Space and Aeronautics,HSSY16
"House Committee on Science, Space, and Technology",HSSY,Environment,HSSY18
"House Committee on Science, Space, and Technology",HSSY,Research and Technology,HSSY15
House Committee on Veterans' Affairs,HSVR,Disability Assistance and Memorial Affairs,HSVR09
House Committee on Veterans' Affairs,HSVR,Economic Opportunity,HSVR10
House Committee on Veterans' Affairs,HSVR,Health,HSVR03
House Committee on Veterans' Affairs,HSVR,Oversight and Investigations,HSVR08
House Committee on Veterans' Affairs,HSVR,Technology Modernization,HSVR11
House Committee on Ways and Means,HSWM,Health,HSWM02
House Committee on Ways and Means,HSWM,Work and Welfare,HSWM03
House Committee on Ways and Means,HSWM,Oversight,HSWM06
House Committee on Ways and Means,HSWM,Tax,HSWM05
