,index,Description
0,Oversight and Investigations,Responsible for oversight and investigative activities within its designated area.
1,"National Security, Illicit Finance, and International Financial Institutions","Focuses on national security, illicit financial activities, and international financial institutions."
2,Health,Addresses legislation related to healthcare and public health policies.
3,Oversight,Conducts oversight activities to ensure proper functioning and compliance within its purview.
4,Central Intelligence Agency,Focuses on the activities and oversight of the CIA.
5,National Security Agency and Cyber,Concerned with activities related to the NSA and cyber operations.
6,Defense Intelligence and Overhead Architecture,Focuses on defense intelligence and overhead architecture initiatives.
7,National Intelligence Enterprise,Engages in matters related to the national intelligence infrastructure.
8,Work and Welfare,"Deals with labor, workforce, and welfare-related legislation."
9,Trade,Focuses on trade policies and international commerce.
10,Social Security,Legislation related to the Social Security program.
11,Tax,Handles legislation related to taxation.
12,"Digital Assets, Financial Technology and Inclusion","Addresses digital assets, fintech, and financial inclusion policies."
13,Capital Markets,Concerned with activities and regulations in the capital markets.
14,Housing and Insurance,Focuses on legislation related to housing and insurance policies.
15,Financial Institutions and Monetary Policy,Deals with regulations and policies for financial institutions and monetary matters.
16,"Transportation, Housing and Urban Development, and Related Agencies","Handles legislation related to transportation, urban development, and associated agencies."
17,"State, Foreign Operations, and Related Programs","Focuses on matters related to state affairs, foreign operations, and associated programs."
18,"Military Construction, Veterans Affairs, and Related Agencies","Addresses legislation concerning military construction, veterans affairs, and related agencies."
19,Legislative Branch,Handles legislative matters pertaining to the functioning of the legislative branch.
20,"Labor, Health and Human Services, Education, and Related Agencies","Concerned with legislation related to labor, health, education, and associated agencies."
21,"Interior, Environment, and Related Agencies","Focuses on legislation related to the interior, environment, and associated agencies."
22,Homeland Security,Addresses legislation concerning homeland security matters.
23,Financial Services and General Government,Concerned with financial services and the functioning of the general government.
24,"Energy and Water Development, and Related Agencies","Focuses on legislation related to energy, water development, and associated agencies."
25,Defense,Handles legislation and oversight concerning defense matters.
26,"Commerce, Justice, Science, and Related Agencies","Concerned with commerce, justice, science, and associated agencies."
27,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Addresses legislation concerning agriculture, rural development, FDA, and related agencies."
28,"Global Health, Global Human Rights, and International Organizations","Focuses on global health, human rights, and international organizations."
29,Africa,Concerned with legislation and affairs specific to the African continent.
30,Indo-Pacific,Focuses on matters concerning the Indo-Pacific region.
31,Western Hemisphere,Addresses legislative matters pertaining to the Western Hemisphere.
